Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -18.26)",64,0.059534883720930236,58,6,0.09375,-0.2656158637992124,0.004705766282040848,0.0005864976942724,water_per_diff,0.0011507374446289,13 - 15日龄
"[-18.26, -3.55)",378,0.3516279069767442,362,16,0.042328042328042326,0.5847560844684131,0.09410021785291861,0.018313822789105698,water_per_diff,0.0010855838295322276,13 - 15日龄
"[-3.55, 3.03)",223,0.20744186046511628,209,14,0.06278026905829596,0.16897751723197574,0.005512750835423742,0.0006882751908663,water_per_diff,0.0011111369906305,13 - 15日龄
"[3.03, inf)",410,0.3813953488372093,367,43,0.1048780487804878,-0.390137672756569,0.06859786872282972,0.0085207633558341,water_per_diff,0.0013178944376097,13 - 15日龄
,1075,1.0,996,79,0.07348837209302325,,0.17291660369321293,0.028109359030078503,water_per_diff,0.0011833657231162887,13 - 15日龄
"[-inf, 7.28)",700,0.6511627906976745,648,52,0.07428571428571429,-0.011652427346729357,8.885486767370223e-05,0.0007211095357985,water_per_shift_diff,0.0011773276060465245,13 - 15日龄
"[7.28, 8.16)",59,0.05488372093023256,58,1,0.01694915254237288,1.5261436054288426,0.06955354289395341,0.0079379090837763,water_per_shift_diff,0.0010506403831753,13 - 15日龄
"[8.16, inf)",316,0.293953488372093,290,26,0.08227848101265822,-0.1225150201585389,0.004649355017454588,0.0007596367590916999,water_per_shift_diff,0.001221522295918038,13 - 15日龄
,1075,1.0,996,79,0.07348837209302325,,0.07429175277908169,0.0094186553786665,water_per_shift_diff,0.0011833657231162882,13 - 15日龄
"[-inf, -15.26)",144,0.13395348837209303,135,9,0.0625,0.17375079598463325,0.0037561652174503217,0.0004689309373162,water_per_diff_前1天,0.0011791410821124,13 - 15日龄
"[-15.26, -12.67)",76,0.07069767441860465,75,1,0.013157894736842105,1.783188708418734,0.11170424919673555,0.0123648620055338,water_per_diff_前1天,0.0009969543675265,13 - 15日龄
"[-12.67, -10.10)",77,0.07162790697674419,74,3,0.03896103896103896,0.6711533994184832,0.0243779728475678,0.002991311817861,water_per_diff_前1天,0.0009134880435102,13 - 15日龄
"[-10.10, 1.60)",480,0.44651162790697674,443,37,0.07708333333333334,-0.051647547716665645,0.0012176071503026645,0.0001521839797439,water_per_diff_前1天,0.001164786878261,13 - 15日龄
"[1.60, 9.29)",190,0.17674418604651163,173,17,0.08947368421052632,-0.214221154676014,0.008889127014605078,0.0011090211133992,water_per_diff_前1天,0.0013054874082565,13 - 15日龄
"[9.29, inf)",108,0.10046511627906977,96,12,0.1111111111111111,-0.4548578634377408,0.025250611909613797,0.003129395287703,water_per_diff_前1天,0.0013803186676807,13 - 15日龄
,1075,1.0,996,79,0.07348837209302325,,0.17519573333627525,0.020215705141557103,water_per_diff_前1天,0.0011833657231162939,13 - 15日龄
"[-inf, -18.17)",100,0.09416195856873823,90,10,0.1,-0.35161164198218553,0.013536897548790052,0.0015189571926999,water_per_diff_前2天,0.0012994287484161997,13 - 15日龄
