Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -18.26)",64,0.0595348837209302,58,6,0.09375,-0.2656158637992124,0.0047057662820408,0.0005864976942724,water_per_diff,0.0011507374446289,13 - 15日龄
"[-18.26, -3.55)",378,0.3516279069767442,362,16,0.0423280423280423,0.5847560844684131,0.0941002178529186,0.0183138227891056,water_per_diff,0.0010855838295322,13 - 15日龄
"[-3.55, 3.03)",223,0.2074418604651162,209,14,0.0627802690582959,0.1689775172319757,0.0055127508354237,0.0006882751908663,water_per_diff,0.0011111369906305,13 - 15日龄
"[3.03, inf)",410,0.3813953488372093,367,43,0.1048780487804878,-0.390137672756569,0.0685978687228297,0.0085207633558341,water_per_diff,0.0013178944376097,13 - 15日龄
,1075,1.0,996,79,0.0734883720930232,,0.1729166036932129,0.0281093590300785,water_per_diff,0.0011833657231162,13 - 15日龄
"[-inf, 7.28)",700,0.6511627906976745,648,52,0.0742857142857142,-0.0116524273467293,8.885486767370223e-05,0.0007211095357985,water_per_shift_diff,0.0011773276060465,13 - 15日龄
"[7.28, 8.16)",59,0.0548837209302325,58,1,0.0169491525423728,1.5261436054288426,0.0695535428939534,0.0079379090837763,water_per_shift_diff,0.0010506403831753,13 - 15日龄
"[8.16, inf)",316,0.293953488372093,290,26,0.0822784810126582,-0.1225150201585389,0.0046493550174545,0.0007596367590916,water_per_shift_diff,0.001221522295918,13 - 15日龄
,1075,1.0,996,79,0.0734883720930232,,0.0742917527790816,0.0094186553786665,water_per_shift_diff,0.0011833657231162,13 - 15日龄
"[-inf, -15.26)",144,0.133953488372093,135,9,0.0625,0.1737507959846332,0.0037561652174503,0.0004689309373162,water_per_diff_前1天,0.0011791410821124,13 - 15日龄
"[-15.26, -12.67)",76,0.0706976744186046,75,1,0.0131578947368421,1.783188708418734,0.1117042491967355,0.0123648620055338,water_per_diff_前1天,0.0009969543675265,13 - 15日龄
"[-12.67, -10.10)",77,0.0716279069767441,74,3,0.0389610389610389,0.6711533994184832,0.0243779728475678,0.002991311817861,water_per_diff_前1天,0.0009134880435102,13 - 15日龄
"[-10.10, 1.60)",480,0.4465116279069767,443,37,0.0770833333333333,-0.0516475477166656,0.0012176071503026,0.0001521839797439,water_per_diff_前1天,0.001164786878261,13 - 15日龄
"[1.60, 9.29)",190,0.1767441860465116,173,17,0.0894736842105263,-0.214221154676014,0.008889127014605,0.0011090211133992,water_per_diff_前1天,0.0013054874082565,13 - 15日龄
"[9.29, inf)",108,0.1004651162790697,96,12,0.1111111111111111,-0.4548578634377408,0.0252506119096137,0.003129395287703,water_per_diff_前1天,0.0013803186676807,13 - 15日龄
,1075,1.0,996,79,0.0734883720930232,,0.1751957333362752,0.0202157051415571,water_per_diff_前1天,0.0011833657231162,13 - 15日龄
"[-inf, -18.17)",100,0.0941619585687382,90,10,0.1,-0.3516116419821855,0.01353689754879,0.0015189571926999,water_per_diff_前2天,0.0012994287484161,13 - 15日龄
