Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 33.05)",34,0.08415841584158416,31,3,0.08823529411764706,0.9521717472668185,0.05611928426730247,0.006761371820529147,W3_0-2天_鸡舍温度-平均_MEAN,0.07669480965073315
"[33.05, 33.25)",23,0.05693069306930693,20,3,0.13043478260869565,0.5139168163356636,0.012787518535126594,0.0015810786710609695,W3_0-2天_鸡舍温度-平均_MEAN,0.08399275965882866
"[33.25, 33.55)",70,0.17326732673267325,57,13,0.18571428571428572,0.09489874182279556,0.0015161745244019682,0.0001894507313031429,W3_0-2天_鸡舍温度-平均_MEAN,0.08020358591176947
"[33.55, 33.65)",59,0.14603960396039603,48,11,0.1864406779661017,0.09010256955930251,0.0011537041165908494,0.00014416425147275366,W3_0-2天_鸡舍温度-平均_MEAN,0.08492334282659565
"[33.65, 33.85)",101,0.25,82,19,0.18811881188118812,0.0790770995475949,0.0015263515373441666,0.00019074424644188823,W3_0-2天_鸡舍温度-平均_MEAN,0.09296979101642296
"[33.85, 33.95)",43,0.10643564356435643,34,9,0.20930232558139536,-0.054067221270275745,0.0003161825805279286,3.951800928364102e-05,W3_0-2天_鸡舍温度-平均_MEAN,0.09194150389828325
"[33.95, 34.15)",42,0.10396039603960396,31,11,0.2619047619047619,-0.34711123686344214,0.013824481474284542,0.0017194368027566888,W3_0-2天_鸡舍温度-平均_MEAN,0.10206012510582055
"[34.15, inf)",32,0.07920792079207921,20,12,0.375,-0.8723775447842271,0.07522393231025555,0.009115724770614446,W3_0-2天_鸡舍温度-平均_MEAN,0.1097665620272802
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.16246762934583406,0.01974148930346268,W3_0-2天_鸡舍温度-平均_MEAN,
"(-inf, 30.95)",29,0.07178217821782178,28,1,0.034482758620689655,1.949001341624986,0.14489193171504025,0.015698445902032697,W3_3-5天_鸡舍温度-平均_MEAN,0.07209179930216972
"[30.95, 31.25)",28,0.06930693069306931,23,5,0.17857142857142858,0.14285313494483143,0.0013541099058333624,0.00016911996124729066,W3_3-5天_鸡舍温度-平均_MEAN,0.07480193931025401
"[31.25, 31.85)",209,0.5173267326732673,167,42,0.20095693779904306,-0.0028789744168309372,4.291556864901112e-06,5.364444229069326e-07,W3_3-5天_鸡舍温度-平均_MEAN,0.0918968043658562
"[31.85, 31.95)",37,0.09158415841584158,29,8,0.21621621621621623,-0.09534888024357957,0.0008564379794840502,0.00010701421259042129,W3_3-5天_鸡舍温度-平均_MEAN,0.09002194358596863
"[31.95, 32.05)",26,0.06435643564356436,18,8,0.3076923076923077,-0.572272952333889,0.024629413459005423,0.003037342118404389,W3_3-5天_鸡舍温度-平均_MEAN,0.10065014054650642
"[32.05, 32.25)",52,0.12871287128712872,39,13,0.25,-0.28459087988210796,0.011312713185697059,0.0014093363120778364,W3_3-5天_鸡舍温度-平均_MEAN,0.0940857317410562
