Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 33.05)",34,0.08415841584158416,31,3,0.08823529411764706,0.9521717472668189,0.05611928426730248,0.0067613718205291,W3_0-2天_鸡舍温度-平均_MEAN,0.0766948096507331
"[33.05, 33.65)",152,0.37623762376237624,125,27,0.17763157894736842,0.14927370274775434,0.008010559899776297,0.0019146936538367,W3_0-2天_鸡舍温度-平均_MEAN,0.0826089586364872
"[33.65, 33.95)",144,0.3564356435643564,116,28,0.19444444444444445,0.03818251238094298,0.0005137118968807832,0.00023026225572544103,W3_0-2天_鸡舍温度-平均_MEAN,0.09266273305753397
"[33.95, 34.15)",42,0.10396039603960396,31,11,0.2619047619047619,-0.3471112368634421,0.013824481474284547,0.0017194368027566,W3_0-2天_鸡舍温度-平均_MEAN,0.1020601251058205
"[34.15, inf)",32,0.07920792079207921,20,12,0.375,-0.872377544784227,0.07522393231025555,0.0091157247706144,W3_0-2天_鸡舍温度-平均_MEAN,0.1097665620272802
,404,1.0,323,81,0.2004950495049505,,0.15369196984849964,0.019741489303462242,W3_0-2天_鸡舍温度-平均_MEAN,0.08986800505067649
"(-inf, 30.95)",29,0.0717821782178217,28,1,0.0344827586206896,1.949001341624986,0.1448919317150402,0.0156984459020326,W3_3-5天_鸡舍温度-平均_MEAN,0.0720917993021697
"[30.95, 31.25)",28,0.0693069306930693,23,5,0.1785714285714285,0.1428531349448314,0.0013541099058333,0.0001691199612472,W3_3-5天_鸡舍温度-平均_MEAN,0.074801939310254
"[31.25, 31.85)",209,0.5173267326732673,167,42,0.200956937799043,-0.0028789744168309,4.291556864901112e-06,5.364444229069326e-07,W3_3-5天_鸡舍温度-平均_MEAN,0.0918968043658562
"[31.85, 31.95)",37,0.0915841584158415,29,8,0.2162162162162162,-0.0953488802435795,0.000856437979484,0.0001070142125904,W3_3-5天_鸡舍温度-平均_MEAN,0.0900219435859686
"[31.95, 32.05)",26,0.0643564356435643,18,8,0.3076923076923077,-0.572272952333889,0.0246294134590054,0.0030373421184043,W3_3-5天_鸡舍温度-平均_MEAN,0.1006501405465064
"[32.05, 32.25)",52,0.1287128712871287,39,13,0.25,-0.2845908798821079,0.011312713185697,0.0014093363120778,W3_3-5天_鸡舍温度-平均_MEAN,0.0940857317410562
"[32.25, inf)",23,0.0569306930693069,19,4,0.1739130434782608,0.1749414494963321,0.0016515895740394,0.0002061858380541,W3_3-5天_鸡舍温度-平均_MEAN,0.0902152969623657
,404,1.0,323,81,0.2004950495049505,,0.1847004873759642,0.0206279807888293,W3_3-5天_鸡舍温度-平均_MEAN,0.08986800505067653
"[-inf, 29.15)",51,0.12623762376237624,48,3,0.058823529411764705,1.3893855536895634,0.15501343237472137,0.0179545942668051,W3_6-8天_鸡舍温度-平均_MEAN,0.0684120828622825
"[29.15, 29.45)",55,0.13613861386138615,48,7,0.12727272727272726,0.5420876933023598,0.03371083885651261,0.00416300623002,W3_6-8天_鸡舍温度-平均_MEAN,0.0772245786697695
"[29.45, 29.95)",161,0.39851485148514854,130,31,0.19254658385093168,0.05034407742021849,0.0009948357614284664,0.0003569299398577561,W3_6-8天_鸡舍温度-平均_MEAN,0.09324778914772446
"[29.95, 30.05)",27,0.06683168316831684,16,11,0.4074074074074074,-1.0085097191088068,0.087000972213759,0.0104364787006892,W3_6-8天_鸡舍温度-平均_MEAN,0.10727067493578829
"[30.05, inf)",110,0.2722772277227723,81,29,0.2636363636363636,-0.35604984386425303,0.03818659411700087,0.0051761966001471,W3_6-8天_鸡舍温度-平均_MEAN,0.09691912465099686
,404,1.0,323,81,0.2004950495049505,,0.3149066733234223,0.038087205737519156,W3_6-8天_鸡舍温度-平均_MEAN,0.08986800505067652
"[-inf, 28.15)",75,0.18564356435643564,71,4,0.05333333333333334,1.4931823473712071,0.2544853452176055,0.0306837563194913,W3_9-11天_鸡舍温度-平均_MEAN,0.06757386051616178
"[28.15, 28.35)",46,0.11386138613861387,41,5,0.10869565217391304,0.7209309857199896,0.04700945081367971,0.0057521449813298,W3_9-11天_鸡舍温度-平均_MEAN,0.0790624509462377
"[28.35, 28.75)",138,0.3415841584158416,109,29,0.21014492753623187,-0.059151116307548,0.001216347535583105,0.0001520212800795,W3_9-11天_鸡舍温度-平均_MEAN,0.0925842359281536
"[28.75, 29.35)",108,0.26732673267326734,79,29,0.26851851851851855,-0.3810511460696702,0.04322745103905443,0.0053709761297408,W3_9-11天_鸡舍温度-平均_MEAN,0.0989863632586734
"[29.35, inf)",37,0.09158415841584158,23,14,0.3783783783783784,-0.8867662822363265,0.0901238980417533,0.0109103042613532,W3_9-11天_鸡舍温度-平均_MEAN,0.11174621535708931
