Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, -31.48)",745,0.05662815445424141,175,570,0.7651006711409396,-2.635133502548352,0.5597417556110831,0.05487964418919371,water_per_diff,0.009049447292765564
"[-31.48, -18.68)",729,0.0554119793250228,524,205,0.2812071330589849,-0.5158014104606367,0.017105826280701467,0.002114835924680083,water_per_diff,0.0025319191800352277
"[-18.68, -7.82)",1885,0.1432806324110672,1580,305,0.16180371352785147,0.1905852337703302,0.004899443465942594,0.0006115052322299619,water_per_diff,0.001709047071711657
"[-7.82, 7.43)",6195,0.4708878078443296,5472,723,0.11670702179176755,0.5697071215003511,0.12695085004095777,0.015657675553659982,water_per_diff,0.0014604351629908744
"[7.43, 31.05)",2775,0.21093037397385223,2318,457,0.1646846846846847,0.16949351736222185,0.005743457793223726,0.0007170740902119888,water_per_diff,0.001725498916864965
"[31.05, inf)",825,0.06270903010033445,594,231,0.28,-0.5098215068024192,0.018882585075792407,0.00233508868084306,water_per_diff,0.0020528038835434218
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff,
Missing,2,0.00015202189115232594,2,0,0.0,0.0,0.0,0.0,water_per_diff,0.0
,13156,1.0,10665,2491,0.18934326543022195,,0.733323918267701,0.0763158236708188,water_per_diff,
"(-inf, -28.41)",740,0.05624809972636059,209,531,0.7175675675675676,-2.386710884920398,0.4619970356992481,0.04704837022507985,water_per_diff_前1天,0.008798953740357196
"[-28.41, -18.07)",666,0.050623289753724536,492,174,0.26126126126126126,-0.4148596983654915,0.00984016385320521,0.0012212749837179938,water_per_diff_前1天,0.0023649408204787898
"[-18.07, -8.30)",1695,0.12883855275159622,1402,293,0.1728613569321534,0.11119934293419753,0.001538397975948529,0.00019220073142192607,water_per_diff_前1天,0.00174179407306622
"[-8.30, 8.05)",6588,0.5007601094557617,5763,825,0.12522768670309653,0.489546949458715,0.1024001949264958,0.012673719688042255,water_per_diff_前1天,0.00152497832193499
"[8.05, 31.05)",2576,0.1958041958041958,2130,446,0.17313664596273293,0.10927519104013617,0.002259171213344479,0.0002822559807341314,water_per_diff_前1天,0.0017753536035338508
"[31.05, inf)",660,0.05016722408026756,455,205,0.3106060606060606,-0.6569956758307282,0.026038939883371612,0.0031975631522501193,water_per_diff_前1天,0.0021631810554803774
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前1天,
Missing,231,0.017558528428093644,214,17,0.0735930735930736,1.078479555322365,0.014280219844273623,0.0017032566233090018,water_per_diff_前1天,0.0010917519744855543
,13156,1.0,10665,2491,0.18934326543022195,,0.6183541233958874,0.06631864138455527,water_per_diff_前1天,
"(-inf, -27.25)",667,0.050699300699300696,217,450,0.6746626686656672,-2.183633344867176,0.35004387578445567,0.03671921262310798,water_per_diff_前2天,0.008348302164740246
"[-27.25, -12.94)",1251,0.09508969291577987,958,293,0.23421262989608313,-0.2696079466894772,0.007494267560797422,0.0009339564946191257,water_per_diff_前2天,0.0022799629743034833
"[-12.94, -8.15)",1101,0.08368805107935542,911,190,0.17257039055404177,0.11323570945620176,0.001035541502078599,0.00012937357555312156,water_per_diff_前2天,0.0017848197914692835
"[-8.15, 1.65)",3904,0.2967467315293402,3418,486,0.1244877049180328,0.4963191241317717,0.06223107644344359,0.0077000137473976285,water_per_diff_前2天,0.0015538350111745684
"[1.65, 16.64)",4040,0.30708422012769837,3410,630,0.15594059405940594,0.23446463524871364,0.01566856378547039,0.0019540965266821968,water_per_diff_前2天,0.0016747848418969308
"[16.64, inf)",1558,0.1184250532076619,1153,405,0.25994865211810014,-0.40804766248075075,0.022228259643294095,0.0027594151126020556,water_per_diff_前2天,0.002230663970662887
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前2天,
Missing,635,0.04826695044086349,598,37,0.05826771653543307,1.328389725663137,0.05475328693536086,0.006381531366587144,water_per_diff_前2天,0.0010158498459206168
,13156,1.0,10665,2491,0.18934326543022195,,0.5134548716549006,0.05657759944654925,water_per_diff_前2天,
"(-inf, -23.03)",755,0.05738826391000304,321,434,0.5748344370860927,-1.7558865266136594,0.25307375673915733,0.02810900418902847,water_per_diff_前3天,0.006687777901806432
