Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 25.65)",62,0.34831460674157305,40,22,0.3548387096774194,-0.7744711183895304,0.2551270272629048,0.031117025498090797,W3_0-2天_外部-平均_MEAN,0.04262695803226905
"[25.65, 29.95)",47,0.2640449438202247,45,2,0.0425531914893617,1.7412071900652235,0.4550572781547611,0.05063524756669005,W3_0-2天_外部-平均_MEAN,0.03001061336204836
"[29.95, 32.55)",54,0.30337078651685395,45,9,0.16666666666666666,0.23712979328894956,0.015864317156655088,0.0019784065269540727,W3_0-2天_外部-平均_MEAN,0.035579208344612506
"[32.55, inf)",15,0.08426966292134831,12,3,0.2,0.013986241974739855,1.6415776965657263e-05,2.0519553960231295e-06,W3_0-2天_外部-平均_MEAN,0.03665925749901496
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.7260650383512867,0.08373273154713094,W3_0-2天_外部-平均_MEAN,
"(-inf, 17.45)",42,0.23595505617977527,30,12,0.2857142857142857,-0.4560173872709956,0.0556640942208727,0.006898342925382946,W3_3-5天_外部-平均_MEAN,0.03902952654979645
"[17.45, 28.45)",13,0.07303370786516854,10,3,0.23076923076923078,-0.16833531481921482,0.0021733432664452572,0.00027134760402665846,W3_3-5天_外部-平均_MEAN,0.03768632673162611
"[28.45, 28.95)",11,0.06179775280898876,10,1,0.09090909090909091,0.9302769738488952,0.03967143589574709,0.004787511547073509,W3_3-5天_外部-平均_MEAN,0.031934104733771354
"[28.95, 30.65)",55,0.3089887640449438,53,2,0.03636363636363636,1.9048366138470259,0.6051358882800412,0.06594735333451085,W3_3-5天_外部-平均_MEAN,0.031891610044981464
"[30.65, 33.05)",48,0.2696629213483146,34,14,0.2916666666666667,-0.485004924144248,0.07248508647226244,0.00897286183796537,W3_3-5天_外部-平均_MEAN,0.03968808069081938
