Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 25.65)",62,0.34831460674157305,40,22,0.3548387096774194,-0.7744711183895303,0.25512702726290476,0.0311170254980907,W3_0-2天_外部-平均_MEAN,0.042626958032269
"[25.65, 29.95)",47,0.2640449438202247,45,2,0.0425531914893617,1.741207190065224,0.45505727815476116,0.05063524756669,W3_0-2天_外部-平均_MEAN,0.0300106133620483
"[29.95, 32.55)",54,0.30337078651685395,45,9,0.16666666666666666,0.2371297932889497,0.01586431715665509,0.001978406526954,W3_0-2天_外部-平均_MEAN,0.0355792083446125
"[32.55, inf)",15,0.08426966292134831,12,3,0.2,0.01398624197473987,1.6415776965657168e-05,2.051955396023129e-06,W3_0-2天_外部-平均_MEAN,0.0366592574990149
,178,1.0,142,36,0.20224719101123595,,0.7260650383512867,0.08373273154713072,W3_0-2天_外部-平均_MEAN,0.03665469853433285
"[-inf, 17.45)",42,0.23595505617977527,30,12,0.2857142857142857,-0.4560173872709956,0.0556640942208727,0.0068983429253829,W3_3-5天_外部-平均_MEAN,0.0390295265497964
"[17.45, 28.45)",13,0.07303370786516854,10,3,0.23076923076923078,-0.16833531481921463,0.002173343266445258,0.0002713476040266,W3_3-5天_外部-平均_MEAN,0.0376863267316261
"[28.45, 30.65)",66,0.3707865168539326,63,3,0.045454545454545456,1.6722143185782725,0.6025467086895888,0.0707348648815843,W3_3-5天_外部-平均_MEAN,0.03189869249311305
"[30.65, 33.05)",48,0.2696629213483146,34,14,0.2916666666666667,-0.48500492414424806,0.07248508647226244,0.0089728618379653,W3_3-5天_外部-平均_MEAN,0.0396880806908193
"[33.05, inf)",9,0.05056179775280899,5,4,0.4444444444444444,-1.149164567830941,0.08722141086040787,0.0103397752863636,W3_3-5天_外部-平均_MEAN,0.0427813776448741
,178,1.0,142,36,0.20224719101123595,,0.8200906435095772,0.09721719253532268,W3_3-5天_外部-平均_MEAN,0.03665469853433283
"[-inf, 28.95)",87,0.4887640449438202,72,15,0.1724137931034483,0.19630779876869447,0.017741432517828018,0.0022141249890896,W3_6-8天_外部-平均_MEAN,0.0349471160950873
"[28.95, 29.35)",18,0.10112359550561797,14,4,0.2222222222222222,-0.11954515064978269,0.0014966529032836645,0.0001869702928094,W3_6-8天_外部-平均_MEAN,0.0372465685139547
"[29.35, 29.55)",9,0.05056179775280899,5,4,0.4444444444444444,-1.149164567830941,0.08722141086040787,0.0103397752863636,W3_6-8天_外部-平均_MEAN,0.0406538031177798
"[29.55, 31.45)",40,0.2247191011235955,28,12,0.3,-0.5250102587579472,0.07148026997173929,0.0088338101563713,W3_6-8天_外部-平均_MEAN,0.0425328012055008
"[31.45, inf)",24,0.1348314606741573,23,1,0.041666666666666664,1.763186096783999,0.2366090888876806,0.0262564465767816,W3_6-8天_外部-平均_MEAN,0.0311042803878091
,178,1.0,142,36,0.20224719101123595,,0.4145488551409394,0.047831127301415505,W3_6-8天_外部-平均_MEAN,0.036654698534332855
"[-inf, 27.65)",63,0.3539325842696629,50,13,0.20634920634920634,-0.02523447117854146,0.000227070750041649,2.838309068656057e-05,W3_9-11天_外部-平均_MEAN,0.0371849220414643
"[27.65, 28.20)",9,0.05056179775280899,7,2,0.2222222222222222,-0.11954515064978269,0.0007483264516418322,9.34851464047409e-05,W3_9-11天_外部-平均_MEAN,0.0392978861864473
"[28.20, 28.90)",13,0.07303370786516854,5,8,0.6153846153846154,-1.8423117483908862,0.34453247876793563,0.0378524718622306,W3_9-11天_外部-平均_MEAN,0.0521030705470841
"[28.90, 30.45)",47,0.2640449438202247,39,8,0.1702127659574468,0.21181198530465997,0.011104384206112854,0.001385459089596,W3_9-11天_外部-平均_MEAN,0.0345331631109766
