Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 33.65)",29,0.16292134831460675,12,17,0.5862068965517241,-1.7206148134133665,0.6671084820393764,0.0744186296516906,W3_0-2天_鸡舍温度-平均_MEAN,0.0472324039154943
"[33.65, 33.75)",11,0.06179775280898876,6,5,0.45454545454545453,-1.1899865623511963,0.11499478908479871,0.0135820630576127,W3_0-2天_鸡舍温度-平均_MEAN,0.0505349617714893
"[33.75, 34.35)",93,0.5224719101123596,85,8,0.08602150537634409,0.9909015956653299,0.37294496675666955,0.0451708142242113,W3_0-2天_鸡舍温度-平均_MEAN,0.033512397893859174
"[34.35, 34.45)",25,0.1404494382022472,24,1,0.04,1.8057457112027948,0.25503685514249175,0.0281506849868686,W3_0-2天_鸡舍温度-平均_MEAN,0.030969854162174803
"[34.45, 34.55)",10,0.056179775280898875,9,1,0.1,0.8249164581910687,0.02936909143012021,0.0035704638042329,W3_0-2天_鸡舍温度-平均_MEAN,0.0323354464033427
"[34.55, inf)",10,0.056179775280898875,6,4,0.4,-0.9668430110369863,0.0665744796332197,0.0080121106707424,W3_0-2天_鸡舍温度-平均_MEAN,0.0384658223858829
,178,1.0,142,36,0.20224719101123595,,1.5060286640866762,0.17290476639535848,W3_0-2天_鸡舍温度-平均_MEAN,0.03665469853433284
"[-inf, 31.85)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.0471761036742361,W3_3-5天_鸡舍温度-平均_MEAN,0.0483877638406342
"[31.85, 32.65)",77,0.43258426966292135,62,15,0.19480519480519481,0.0467760647977307,0.0009333252365744367,0.0001166550197152,W3_3-5天_鸡舍温度-平均_MEAN,0.0372335104590784
"[32.65, 33.05)",51,0.28651685393258425,42,9,0.17647058823529413,0.16813692180199818,0.007696408392344986,0.0009609194314789,W3_3-5天_鸡舍温度-平均_MEAN,0.0348582241387163
"[33.05, inf)",31,0.17415730337078653,30,1,0.03225806451612903,2.0288892625170045,0.37228054151818274,0.0399034217331197,W3_3-5天_鸡舍温度-平均_MEAN,0.0309812609585686
,178,1.0,142,36,0.20224719101123595,,0.8022777628693116,0.0881570998585499,W3_3-5天_鸡舍温度-平均_MEAN,0.03665469853433284
"[-inf, 29.95)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.0471761036742361,W3_6-8天_鸡舍温度-平均_MEAN,0.0483877638406342
"[29.95, 30.75)",16,0.0898876404494382,11,5,0.3125,-0.5838507587808807,0.035862507483802146,0.0044202080103852,W3_6-8天_鸡舍温度-平均_MEAN,0.0381891132522039
"[30.75, 31.95)",107,0.601123595505618,88,19,0.17757009345794392,0.1605897161666152,0.014764703951155925,0.0018436073819879,W3_6-8天_鸡舍温度-平均_MEAN,0.0360270269602805
"[31.95, inf)",36,0.20224719101123595,35,1,0.027777777777777776,2.183039942344263,0.47743322682724687,0.0500864441009627,W3_6-8天_鸡舍温度-平均_MEAN,0.0316458647042756
,178,1.0,142,36,0.20224719101123595,,0.9494279259844145,0.1035263631675719,W3_6-8天_鸡舍温度-平均_MEAN,0.03665469853433285
"[-inf, 29.10)",11,0.06179775280898876,5,6,0.5454545454545454,-1.5546296759391052,0.20436446444269923,0.0232486083765494,W3_9-11天_鸡舍温度-平均_MEAN,0.048287229032701
"[29.10, 30.45)",35,0.19662921348314608,23,12,0.34285714285714286,-0.7217205530040013,0.12367511823777486,0.0151323708113712,W3_9-11天_鸡舍温度-平均_MEAN,0.0415368354764997
"[30.45, 31.05)",39,0.21910112359550563,28,11,0.28205128205128205,-0.4379988817683176,0.04746701496471988,0.0058863989796787,W3_9-11天_鸡舍温度-平均_MEAN,0.0405214591400689
"[31.05, inf)",93,0.5224719101123596,86,7,0.07526881720430108,1.1361290280530436,0.4671641660734542,0.0555836838876677,W3_9-11天_鸡舍温度-平均_MEAN,0.0318198996947458
,178,1.0,142,36,0.20224719101123595,,0.8426707637186481,0.099851062055267,W3_9-11天_鸡舍温度-平均_MEAN,0.03665469853433285
"(-inf, 30.55)",74,0.4157303370786517,49,25,0.3378378378378378,-0.6993636459027249,0.2443394897461397,0.0299348290593371,W3_12-14天_鸡舍温度-平均_MEAN,0.0400396833644846
"[30.55, 30.75)",18,0.1011235955056179,14,4,0.2222222222222222,-0.1195451506497826,0.0014966529032836,0.0001869702928094,W3_12-14天_鸡舍温度-平均_MEAN,0.0399740745763935
"[30.75, 30.95)",22,0.1235955056179775,20,2,0.0909090909090909,0.9302769738488952,0.0793428717914941,0.009575023094147,W3_12-14天_鸡舍温度-平均_MEAN,0.0330925684695219
"[30.95, 31.25)",20,0.1123595505617977,19,1,0.05,1.5721308600212895,0.1666852359412243,0.0189243883066696,W3_12-14天_鸡舍温度-平均_MEAN,0.0325303428054473
"[31.25, inf)",44,0.247191011235955,40,4,0.0909090909090909,0.9302769738488952,0.1586857435829883,0.019150046188294,W3_12-14天_鸡舍温度-平均_MEAN,0.0332596151210426
,178,1.0,142,36,0.20224719101123595,,0.65054999396513,0.0777712569412571,W3_12-14天_鸡舍温度-平均_MEAN,0.03665469853433284
"[-inf, 29.45)",20,0.11235955056179775,17,3,0.15,0.3622929362429557,0.013182019980670923,0.0016387996559177,W3_15-17天_鸡舍温度-平均_MEAN,0.0369929962550722
"[29.45, 30.15)",54,0.30337078651685395,36,18,0.3333333333333333,-0.6791609385852054,0.16739882289071964,0.0205317467846603,W3_15-17天_鸡舍温度-平均_MEAN,0.0402198883236134
"[30.15, 30.25)",15,0.08426966292134831,7,8,0.5333333333333333,-1.5058395117696732,0.26039947738740044,0.0297858154981181,W3_15-17天_鸡舍温度-平均_MEAN,0.04454411552700959
"[30.25, 30.45)",17,0.09550561797752809,15,2,0.11764705882352941,0.6425949013971141,0.03218002636104483,0.0039546927949203,W3_15-17天_鸡舍温度-平均_MEAN,0.0345359691619957
"[30.45, inf)",72,0.4044943820224719,67,5,0.06944444444444445,1.222946587811715,0.40717040149756234,0.048179056098631996,W3_15-17天_鸡舍温度-平均_MEAN,0.03274346160938345
,178,1.0,142,36,0.20224719101123595,,0.8803307481173981,0.1040901108322484,W3_15-17天_鸡舍温度-平均_MEAN,0.03665469853433285
"[-inf, 29.15)",13,0.07303370786516854,11,2,0.15384615384615385,0.33243997309327444,0.007283504887802569,0.000906268712795,W3_18-20天_鸡舍温度-平均_MEAN,0.0373754456605584
"[29.15, 29.35)",24,0.1348314606741573,15,9,0.375,-0.8614824953791601,0.12436895179769565,0.0154401238035571,W3_18-20天_鸡舍温度-平均_MEAN,0.03988269494653197
"[29.35, 29.75)",36,0.20224719101123595,28,8,0.2222222222222222,-0.11954515064978269,0.002993305806567329,0.0003739405856189,W3_18-20天_鸡舍温度-平均_MEAN,0.0369313248298347
"[29.75, 30.35)",65,0.3651685393258427,51,14,0.2153846153846154,-0.07953981603608351,0.002365033653655064,0.0002955513012452,W3_18-20天_鸡舍温度-平均_MEAN,0.0382773158760706
"[30.35, 30.55)",13,0.07303370786516854,11,2,0.15384615384615385,0.33243997309327444,0.007283504887802569,0.000906268712795,W3_18-20天_鸡舍温度-平均_MEAN,0.0326936532560964
"[30.55, inf)",27,0.15168539325842698,26,1,0.037037037037037035,1.8857884188763314,0.2929021918207761,0.0319998183414032,W3_18-20天_鸡舍温度-平均_MEAN,0.0310703758762714
,178,1.0,142,36,0.20224719101123595,,0.4371964928542993,0.049921971457414394,W3_18-20天_鸡舍温度-平均_MEAN,0.03665469853433284
"[-inf, 28.80)",24,0.1348314606741573,8,16,0.6666666666666666,-2.065455299705096,0.8016164543456397,0.085492757861798,W3_21-23天_鸡舍温度-平均_MEAN,0.05403927548553209
"[28.80, 29.55)",72,0.4044943820224719,63,9,0.125,0.5736020299101626,0.11108490015865827,0.013698330202016,W3_21-23天_鸡舍温度-平均_MEAN,0.0347197173170604
