Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 50.45)",58,0.42962962962962964,47,11,0.1896551724137931,0.06595796779179763,0.001832165771994373,0.00022897921619407114,W3_0-2天_湿度内部平均_MEAN,0.10215035462717519
"[50.45, 56.65)",35,0.25925925925925924,27,8,0.22857142857142856,-0.16989903679539742,0.007865696147935064,0.0009820311773493517,W3_0-2天_湿度内部平均_MEAN,0.11809642658588716
"[56.65, 59.20)",7,0.05185185185185185,3,4,0.5714285714285714,-1.6739764335716716,0.2014971633002938,0.022605149297765834,W3_0-2天_湿度内部平均_MEAN,0.1517038622111158
"[59.20, 60.90)",8,0.05925925925925926,6,2,0.25,-0.2876820724517808,0.005327445786144089,0.0006636438057066223,W3_0-2天_湿度内部平均_MEAN,0.13267232270516385
"[60.90, inf)",27,0.2,25,2,0.07407407407407407,1.139434283188365,0.17935539642779816,0.02128025641309284,W3_0-2天_湿度内部平均_MEAN,0.07138015895237625
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
,135,1.0,108,27,0.2,,0.3958778674341655,0.045760059910108716,W3_0-2天_湿度内部平均_MEAN,
"(-inf, 55.00)",28,0.2074074074074074,20,8,0.2857142857142857,-0.47000362924573547,0.0522226254717484,0.006468399923861137,W3_3-5天_湿度内部平均_MEAN,0.1083614993173901
"[55.00, 62.55)",37,0.2740740740740741,30,7,0.1891891891891892,0.06899287148695143,0.0012776457682768826,0.0001596740534948191,W3_3-5天_湿度内部平均_MEAN,0.10464041746082664
"[62.55, 66.10)",20,0.14814814814814814,19,1,0.05,1.5581446180465497,0.2164089747286875,0.02460896405162144,W3_3-5天_湿度内部平均_MEAN,0.10197157907518195
"[66.10, 66.80)",7,0.05185185185185185,6,1,0.14285714285714285,0.4054651081081644,0.007508613113114156,0.0009321997014207816,W3_3-5天_湿度内部平均_MEAN,0.114239626404633
"[66.80, inf)",43,0.31851851851851853,33,10,0.23255813953488372,-0.19237189264745602,0.012468548597520283,0.0015561697684942366,W3_3-5天_湿度内部平均_MEAN,0.10148230266143984
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
,135,1.0,108,27,0.2,,0.28988640767934726,0.03372540749889241,W3_3-5天_湿度内部平均_MEAN,
"(-inf, 47.55)",17,0.1259259259259259,14,3,0.17647058823529413,0.15415067982725827,0.0028546422190233026,0.00035647739847069135,W3_6-8天_湿度内部平均_MEAN,0.0985000148894588
"[47.55, 60.40)",18,0.13333333333333333,16,2,0.1111111111111111,0.6931471805599452,0.05134423559703298,0.006292556918348045,W3_6-8天_湿度内部平均_MEAN,0.09286966023680042
"[60.40, 63.05)",11,0.08148148148148149,10,1,0.09090909090909091,0.9162907318741553,0.05090504065967527,0.006149473553914965,W3_6-8天_湿度内部平均_MEAN,0.06990751209862232
"[63.05, 70.20)",40,0.2962962962962963,31,9,0.225,-0.14953173397096364,0.006922765461618685,0.000864540378616217,W3_6-8天_湿度内部平均_MEAN,0.11632674606780939
"[70.20, inf)",49,0.362962962962963,37,12,0.24489795918367346,-0.2602830982636666,0.026510315563891933,0.00330446683950706,W3_6-8天_湿度内部平均_MEAN,0.1089889549905115
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
,135,1.0,108,27,0.2,,0.13853699950124218,0.01696751508885698,W3_6-8天_湿度内部平均_MEAN,
"(-inf, 47.35)",16,0.11851851851851852,13,3,0.1875,0.08004270767353638,0.0007411361821623737,9.261729976665174e-05,W3_9-11天_湿度内部平均_MEAN,0.1006361765343357
