Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 50.45)",58,0.42962962962962964,47,11,0.1896551724137931,0.06595796779179737,0.0018321657719943723,0.000228979216194,W3_0-2天_湿度内部平均_MEAN,0.1021503546271751
"[50.45, 56.65)",35,0.25925925925925924,27,8,0.22857142857142856,-0.16989903679539747,0.007865696147935065,0.0009820311773493,W3_0-2天_湿度内部平均_MEAN,0.1180964265858871
"[56.65, 59.20)",7,0.05185185185185185,3,4,0.5714285714285714,-1.6739764335716716,0.2014971633002938,0.0226051492977658,W3_0-2天_湿度内部平均_MEAN,0.1517038622111158
"[59.20, 60.90)",8,0.05925925925925926,6,2,0.25,-0.2876820724517809,0.005327445786144091,0.0006636438057066,W3_0-2天_湿度内部平均_MEAN,0.1326723227051638
"[60.90, inf)",27,0.2,25,2,0.07407407407407407,1.1394342831883648,0.17935539642779816,0.0212802564130928,W3_0-2天_湿度内部平均_MEAN,0.0713801589523762
,135,1.0,108,27,0.2,,0.3958778674341655,0.0457600599101085,W3_0-2天_湿度内部平均_MEAN,0.1045086326497443
"(-inf, 55.00)",28,0.2074074074074074,20,8,0.2857142857142857,-0.4700036292457354,0.0522226254717484,0.0064683999238611,W3_3-5天_湿度内部平均_MEAN,0.1083614993173901
"[55.00, 62.55)",37,0.2740740740740741,30,7,0.1891891891891892,0.0689928714869514,0.0012776457682768,0.0001596740534948,W3_3-5天_湿度内部平均_MEAN,0.1046404174608266
"[62.55, 66.10)",20,0.1481481481481481,19,1,0.05,1.5581446180465497,0.2164089747286875,0.0246089640516214,W3_3-5天_湿度内部平均_MEAN,0.1019715790751819
"[66.10, 66.80)",7,0.0518518518518518,6,1,0.1428571428571428,0.4054651081081644,0.0075086131131141,0.0009321997014207,W3_3-5天_湿度内部平均_MEAN,0.114239626404633
"[66.80, inf)",43,0.3185185185185185,33,10,0.2325581395348837,-0.192371892647456,0.0124685485975202,0.0015561697684942,W3_3-5天_湿度内部平均_MEAN,0.1014823026614398
,135,1.0,108,27,0.2,,0.28988640767934704,0.0337254074988922,W3_3-5天_湿度内部平均_MEAN,0.10450863264974436
"[-inf, 47.55)",17,0.1259259259259259,14,3,0.17647058823529413,0.15415067982725836,0.0028546422190233026,0.0003564773984706,W3_6-8天_湿度内部平均_MEAN,0.0985000148894588
"[47.55, 60.40)",18,0.13333333333333333,16,2,0.1111111111111111,0.6931471805599453,0.05134423559703298,0.006292556918348,W3_6-8天_湿度内部平均_MEAN,0.0928696602368004
"[60.40, 63.05)",11,0.08148148148148149,10,1,0.09090909090909091,0.9162907318741551,0.05090504065967528,0.0061494735539149,W3_6-8天_湿度内部平均_MEAN,0.0699075120986223
"[63.05, 70.20)",40,0.2962962962962963,31,9,0.225,-0.1495317339709637,0.006922765461618687,0.0008645403786162,W3_6-8天_湿度内部平均_MEAN,0.11632674606780928
"[70.20, inf)",49,0.362962962962963,37,12,0.24489795918367346,-0.2602830982636663,0.026510315563891926,0.003304466839507,W3_6-8天_湿度内部平均_MEAN,0.1089889549905115
,135,1.0,108,27,0.2,,0.13853699950124215,0.0169675150888567,W3_6-8天_湿度内部平均_MEAN,0.10450863264974435
"[-inf, 47.35)",16,0.11851851851851852,13,3,0.1875,0.08004270767353636,0.0007411361821623736,9.261729976665174e-05,W3_9-11天_湿度内部平均_MEAN,0.1006361765343357
"[47.35, 61.35)",15,0.1111111111111111,13,2,0.13333333333333333,0.4855078157817008,0.02247721369359726,0.0027823776852112,W3_9-11天_湿度内部平均_MEAN,0.0968022850272417
"[61.35, 68.70)",33,0.24444444444444444,31,2,0.06060606060606061,1.3545456628053103,0.2884680578196494,0.0335322755336105,W3_9-11天_湿度内部平均_MEAN,0.0855596945580967
"[68.70, inf)",71,0.5259259259259259,51,20,0.28169014084507044,-0.45020100194955576,0.12088730607904737,0.0149845803558015,W3_9-11天_湿度内部平均_MEAN,0.11581665334282111
,135,1.0,108,27,0.2,,0.43257371377445636,0.051391850874389855,W3_9-11天_湿度内部平均_MEAN,0.10450863264974435
"[-inf, 54.65)",15,0.1111111111111111,12,3,0.2,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,0.09988224880090492
"[54.65, 63.00)",12,0.08888888888888889,10,2,0.16666666666666666,0.22314355131420976,0.004132287987300181,0.0005154669968851,W3_12-14天_湿度内部平均_MEAN,0.1033769825739979
"[63.00, 70.25)",33,0.24444444444444444,28,5,0.15151515151515152,0.3364722366212129,0.024923869379349102,0.0031008699040932,W3_12-14天_湿度内部平均_MEAN,0.0947995303594435
"[70.25, 72.15)",14,0.1037037037037037,13,1,0.07142857142857142,1.1786549963416462,0.09822124969513718,0.0116129366298284,W3_12-14天_湿度内部平均_MEAN,0.09995845441270938
"[72.15, inf)",61,0.45185185185185184,45,16,0.26229508196721313,-0.3522205935893519,0.06196473405738597,0.0077058004293553,W3_12-14天_湿度内部平均_MEAN,0.1121656560848257
,135,1.0,108,27,0.2,,0.18924214111917245,0.022935073960162,W3_12-14天_湿度内部平均_MEAN,0.10450863264974433
"[-inf, 73.70)",83,0.6148148148148148,63,20,0.24096385542168675,-0.23889190828234882,0.037603355933332666,0.0046892742105673,W3_15-17天_湿度内部平均_MEAN,0.1110726544689836
"[73.70, 75.35)",13,0.0962962962962963,11,2,0.15384615384615385,0.3184537311185346,0.00884593697551485,0.0011010933365618,W3_15-17天_湿度内部平均_MEAN,0.104093002706803
"[75.35, 79.55)",23,0.17037037037037037,22,1,0.043478260869565216,1.7047480922384253,0.2841246820397375,0.0317566116868636,W3_15-17天_湿度内部平均_MEAN,0.0801228093129948
"[79.55, inf)",16,0.11851851851851852,12,4,0.25,-0.2876820724517809,0.010654891572288182,0.0013272876114132,W3_15-17天_湿度内部平均_MEAN,0.1058500898376579
,135,1.0,108,27,0.2,,0.3412288665208732,0.038874266845405896,W3_15-17天_湿度内部平均_MEAN,0.10450863264974432
"[-inf, 69.35)",39,0.28888888888888886,27,12,0.3076923076923077,-0.5753641449035618,0.1118763615090259,0.0137947867243901,W3_18-20天_湿度内部平均_MEAN,0.113850472354241
"[69.35, 74.80)",51,0.37777777777777777,43,8,0.1568627450980392,0.2954642128938359,0.030093577239186993,0.0037480735703104,W3_18-20天_湿度内部平均_MEAN,0.1084573001864346
"[74.80, 78.95)",32,0.23703703703703705,29,3,0.09375,0.8823891801984738,0.13889459317938943,0.0195371538610067,W3_18-20天_湿度内部平均_MEAN,0.09002594963900334
"[78.95, inf)",13,0.0962962962962963,9,4,0.3076923076923077,-0.5753641449035618,0.03729212050300863,0.0045982622414633,W3_18-20天_湿度内部平均_MEAN,0.0966418683033705
,135,1.0,108,27,0.2,,0.3181566524306109,0.041678276397170505,W3_18-20天_湿度内部平均_MEAN,0.10450863264974435
"[-inf, 67.70)",33,0.24444444444444444,22,11,0.3333333333333333,-0.6931471805599453,0.1411966478918407,0.018590547512115498,W3_21-23天_湿度内部平均_MEAN,0.11748475755997675
"[67.70, 73.55)",38,0.2814814814814815,32,6,0.15789473684210525,0.28768207245178085,0.021309783144576357,0.0026545752228264,W3_21-23天_湿度内部平均_MEAN,0.1061288021137644
"[73.55, 75.40)",21,0.15555555555555556,20,1,0.047619047619047616,1.6094379124341003,0.23843524628653337,0.0269539968548489,W3_21-23天_湿度内部平均_MEAN,0.0884932810254885
"[75.40, inf)",43,0.31851851851851853,34,9,0.20930232558139536,-0.05715841383994852,0.0010584891451842302,0.0001322931347707,W3_21-23天_湿度内部平均_MEAN,0.1009398843343709
,135,1.0,108,27,0.2,,0.40200016646813463,0.0483314127245615,W3_21-23天_湿度内部平均_MEAN,0.10450863264974435
