Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 31.65)",43,0.3185185185185185,41,2,0.0465116279069767,1.634130525024472,0.4993176604241442,0.0562824273533885,W3_3-5天_鸡舍温度-平均_MEAN,0.0769339500786803
"[31.65, 31.75)",16,0.1185185185185185,14,2,0.125,0.5596157879354227,0.0310897659964123,0.0038362914189266,W3_3-5天_鸡舍温度-平均_MEAN,0.1078664155571794
"[31.75, 31.85)",7,0.0518518518518518,6,1,0.1428571428571428,0.4054651081081644,0.0075086131131141,0.0009321997014207,W3_3-5天_鸡舍温度-平均_MEAN,0.1117581719785771
"[31.85, 32.05)",15,0.1111111111111111,7,8,0.5333333333333333,-1.5198257537444133,0.351811517070466,0.0401794248877782,W3_3-5天_鸡舍温度-平均_MEAN,0.1437506453962552
"[32.05, inf)",54,0.4,40,14,0.2592592592592592,-0.3364722366212129,0.0498477387586982,0.0062017398081865,W3_3-5天_鸡舍温度-平均_MEAN,0.1136310374189536
,135,1.0,108,27,0.2,,0.9395752953628348,0.1074320831697005,W3_3-5天_鸡舍温度-平均_MEAN,0.1045086326497443
"[-inf, 29.45)",33,0.2444444444444444,32,1,0.0303030303030303,2.079441541679836,0.5391144737688462,0.0573858474528189,W3_6-8天_鸡舍温度-平均_MEAN,0.0687371467478963
"[29.45, 29.85)",23,0.1703703703703703,21,2,0.0869565217391304,0.965080896043587,0.1161671448941354,0.0139823735752835,W3_6-8天_鸡舍温度-平均_MEAN,0.095393808611478
"[29.85, 30.35)",38,0.2814814814814815,25,13,0.3421052631578947,-0.7323678937132265,0.1830919734283066,0.0232827430612687,W3_6-8天_鸡舍温度-平均_MEAN,0.12865596361579
"[30.35, 30.55)",26,0.1925925925925926,18,8,0.3076923076923077,-0.5753641449035618,0.0745842410060172,0.0091965244829267,W3_6-8天_鸡舍温度-平均_MEAN,0.1214571392571157
"[30.55, inf)",15,0.1111111111111111,12,3,0.2,0.0,0.0,0.0,W3_6-8天_鸡舍温度-平均_MEAN,0.1066313152590586
