Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 27.05)",198,0.7279411764705882,145,53,0.2676767676767677,-0.36612233943953587,0.10816484029022239,0.013445591841853302,W3_0-2天_外部-平均_MEAN,0.0550243707020617
"[27.05, 29.95)",52,0.19117647058823528,51,1,0.019230769230769232,2.559261464416337,0.554953386670254,0.055054282785876665,W3_0-2天_外部-平均_MEAN,0.040018022744325824
"[29.95, inf)",22,0.08088235294117647,21,1,0.045454545454545456,1.6719582694154345,0.13140317190713677,0.01474515563437045,W3_0-2天_外部-平均_MEAN,0.038444898016096095
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7945213988676131,0.08324503026210042,W3_0-2天_外部-平均_MEAN,
"(-inf, 15.95)",42,0.15441176470588236,26,16,0.38095238095238093,-0.8870563525262878,0.15176950748711182,0.01837268023910102,W3_3-5天_外部-平均_MEAN,0.06099358746065365
"[15.95, 17.65)",47,0.17279411764705882,34,13,0.2765957446808511,-0.41115300115336384,0.032761332559434364,0.004066563407686689,W3_3-5天_外部-平均_MEAN,0.057987542288361456
"[17.65, 19.75)",41,0.15073529411764705,30,11,0.2682926829268293,-0.36926205944420376,0.022802357587798753,0.0028342105355717503,W3_3-5天_外部-平均_MEAN,0.05356549205476609
"[19.75, 23.75)",45,0.16544117647058823,36,9,0.2,0.01373019281190202,3.106118189537958e-05,3.882617239313129e-06,W3_3-5天_外部-平均_MEAN,0.0495485703990664
"[23.75, 27.05)",17,0.0625,16,1,0.058823529411764705,1.4000245539317926,0.07777262499009456,0.008998096290163139,W3_3-5天_外部-平均_MEAN,0.04591414444470686
"[27.05, inf)",80,0.29411764705882354,75,5,0.0625,1.3354860327942215,0.34016569247544476,0.039618239618220204,W3_3-5天_外部-平均_MEAN,0.04159992349254274
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.6253025762817797,0.07389367270798211,W3_3-5天_外部-平均_MEAN,
"(-inf, 15.50)",52,0.19117647058823528,40,12,0.23076923076923078,-0.16859136398205266,0.005706821202241241,0.0007125090300455442,W3_6-8天_外部-平均_MEAN,0.05486120332844401
"[15.50, 16.65)",15,0.05514705882352941,9,6,0.4,-0.9670990601998242,0.06539161638720217,0.007869601367083109,W3_6-8天_外部-平均_MEAN,0.05909938347413344
"[16.65, 17.20)",17,0.0625,8,9,0.5294117647058824,-1.4903472039643721,0.18893132129016296,0.021647923106777576,W3_6-8天_外部-平均_MEAN,0.06426093535494644
"[17.20, 17.85)",16,0.058823529411764705,6,10,0.625,-1.883389792073979,0.2903592138597505,0.031731898165520855,W3_6-8天_外部-平均_MEAN,0.06887881745349052
"[17.85, 19.75)",27,0.09926470588235294,21,6,0.2222222222222222,-0.1198011998126205,0.0014755572997448866,0.00018433444113581708,W3_6-8天_外部-平均_MEAN,0.052925743882899466
"[19.75, 23.20)",55,0.20220588235294118,46,9,0.16363636363636364,0.25885265084488696,0.012514283999790515,0.001559932809347079,W3_6-8天_外部-平均_MEAN,0.050488613091047956
"[23.20, inf)",90,0.33088235294117646,87,3,0.03333333333333333,1.9947316616784856,0.6909275818499252,0.07440198354955405,W3_6-8天_外部-平均_MEAN,0.04091012475267026
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,1.2553063958888175,0.13810818246946402,W3_6-8天_外部-平均_MEAN,
"(-inf, 14.05)",19,0.06985294117647059,14,5,0.2631578947368421,-0.3429447511268302,0.009051327742350365,0.001125903906652674,W3_9-11天_外部-平均_MEAN,0.055328024264635095
"[14.05, 16.50)",64,0.23529411764705882,43,21,0.328125,-0.6558864903378492,0.12046109650779772,0.01479341189089771,W3_9-11天_外部-平均_MEAN,0.057755061106831464
"[16.50, 17.30)",23,0.08455882352941177,12,11,0.4782608695652174,-1.2855527913183589,0.1860200813244077,0.021772958181022064,W3_9-11天_外部-平均_MEAN,0.059445100862375665
"[17.30, 21.45)",56,0.20588235294117646,44,12,0.21428571428571427,-0.07328118417772767,0.0011297643811229057,0.0001411889572484489,W3_9-11天_外部-平均_MEAN,0.05482754578390198
"[21.45, 22.65)",16,0.058823529411764705,13,3,0.1875,0.0937729004854384,0.0005028458844631808,6.283271597380896e-05,W3_9-11天_外部-平均_MEAN,0.04961211188485897
"[22.65, 26.55)",40,0.14705882352941177,38,2,0.05,1.5718748108584517,0.2181000994370839,0.024762433094941864,W3_9-11天_外部-平均_MEAN,0.04437912786022302
"[26.55, inf)",54,0.19852941176470587,53,1,0.018518518518518517,2.5977277452441334,0.5872366532608858,0.05791145015996746,W3_9-11天_外部-平均_MEAN,0.03828620699818849
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,1.1225018685381116,0.12057017890670403,W3_9-11天_外部-平均_MEAN,
"(-inf, 14.85)",42,0.15441176470588236,32,10,0.23809523809523808,-0.2094133585023077,0.007193923501126618,0.0008976008967043654,W3_12-14天_外部-平均_MEAN,0.05425953315677253
"[14.85, 15.55)",15,0.05514705882352941,6,9,0.6,-1.7780292764161527,0.24178814542299257,0.02678152112128025,W3_12-14天_外部-平均_MEAN,0.06898079968321191
"[15.55, 19.75)",97,0.35661764705882354,73,24,0.24742268041237114,-0.26015855750754313,0.026004956774738065,0.003241483424856143,W3_12-14天_外部-平均_MEAN,0.053384504278427274
"[19.75, 23.65)",44,0.16176470588235295,35,9,0.20454545454545456,-0.014440684154794381,3.387843789981103e-05,4.23476794208968e-06,W3_12-14天_外部-平均_MEAN,0.053431203085624546
"[23.65, 26.05)",36,0.1323529411764706,34,2,0.05555555555555555,1.4606491757482276,0.17574295905944318,0.02020215378982282,W3_12-14天_外部-平均_MEAN,0.04459296317624599
"[26.05, inf)",38,0.13970588235294118,37,1,0.02631578947368421,2.238353744336236,0.3409574450945351,0.03548661653564202,W3_12-14天_外部-平均_MEAN,0.036140037503022866
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7917213082907354,0.08661361053624769,W3_12-14天_外部-平均_MEAN,
"(-inf, 13.35)",21,0.07720588235294118,18,3,0.14285714285714285,0.4191953009200664,0.01190676221297885,0.0014775426726082582,W3_15-17天_外部-平均_MEAN,0.04598657960524276
"[13.35, 18.50)",103,0.3786764705882353,81,22,0.21359223300970873,-0.06915746699386571,0.0018484484265641583,0.00023101001913928242,W3_15-17天_外部-平均_MEAN,0.054428678938503616
"[18.50, 19.85)",30,0.11029411764705882,19,11,0.36666666666666664,-0.8260204619399185,0.09287972014439642,0.011290763206670752,W3_15-17天_外部-平均_MEAN,0.056174326556453144
"[19.85, 20.05)",14,0.051470588235294115,6,8,0.5714285714285714,-1.6602462407597693,0.19558493628053922,0.021977933677135877,W3_15-17天_外部-平均_MEAN,0.0641886200966484
"[20.05, 22.75)",37,0.13602941176470587,29,8,0.21621621621621623,-0.08470988000135038,0.0010007618835517732,0.00012505784661418764,W3_15-17天_外部-平均_MEAN,0.05471630181819169
"[22.75, inf)",67,0.24632352941176472,64,3,0.04477611940298507,1.6877066263835738,0.40570006795931907,0.04543874146385397,W3_15-17天_外部-平均_MEAN,0.039422456572709555
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7089206969073494,0.08054104888602232,W3_15-17天_外部-平均_MEAN,
"(-inf, 13.55)",15,0.05514705882352941,6,9,0.6,-1.7780292764161527,0.24178814542299257,0.02678152112128025,W3_18-20天_外部-平均_MEAN,0.07218993619271016
"[13.55, 15.25)",39,0.14338235294117646,28,11,0.28205128205128205,-0.4382549309311552,0.031101962840275544,0.0038569282249546893,W3_18-20天_外部-平均_MEAN,0.05867461267001548
"[15.25, 20.45)",134,0.49264705882352944,106,28,0.208955223880597,-0.04132958437112544,0.0008518707796645829,0.00010647626940785831,W3_18-20天_外部-平均_MEAN,0.05102082268400447
"[20.45, 22.95)",28,0.10294117647058823,24,4,0.14285714285714285,0.4191953009200664,0.01587568295063847,0.0019700568968110104,W3_18-20天_外部-平均_MEAN,0.04799934579302555
"[22.95, inf)",56,0.20588235294117646,53,3,0.05357142857142857,1.4991154565760239,0.28437347244977945,0.03255229596710965,W3_18-20天_外部-平均_MEAN,0.040528919271155435
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_18-20天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_18-20天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.5739911344433506,0.06526727847956346,W3_18-20天_外部-平均_MEAN,
"(-inf, 15.75)",92,0.3382352941176471,61,31,0.33695652173913043,-0.6956775086198236,0.19655002589577253,0.02408500343249119,W3_21-23天_外部-平均_MEAN,0.06061589605360674
"[15.75, 16.85)",34,0.125,25,9,0.2647058823529412,-0.35091292077600733,0.016994358459030762,0.0021134620835398955,W3_21-23天_外部-平均_MEAN,0.055317405299527285
"[16.85, 20.85)",85,0.3125,72,13,0.15294117647058825,0.33915259324653,0.032366552468185816,0.00402653955084422,W3_21-23天_外部-平均_MEAN,0.04638082787814332
"[20.85, inf)",61,0.22426470588235295,59,2,0.03278688524590164,2.0118260950377858,0.4738368791915554,0.050906877842588086,W3_21-23天_外部-平均_MEAN,0.0397004221526122
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_21-23天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_21-23天_外部-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7197478160145445,0.08113188290946338,W3_21-23天_外部-平均_MEAN,
