Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 27.05)",198,0.7279411764705882,145,53,0.2676767676767677,-0.366122339439536,0.10816484029022236,0.0134455918418533,W3_0-2天_外部-平均_MEAN,0.0550243707020617
"[27.05, inf)",74,0.27205882352941174,72,2,0.02702702702702703,2.2109547701481214,0.6531903242180374,0.069799438420247,W3_0-2天_外部-平均_MEAN,0.039550337014311536
,272,1.0,217,55,0.20220588235294118,,0.7613551645082597,0.0832450302621003,W3_0-2天_外部-平均_MEAN,0.050814523301717915
"[-inf, 15.95)",42,0.15441176470588236,26,16,0.38095238095238093,-0.8870563525262878,0.15176950748711182,0.018372680239101,W3_3-5天_外部-平均_MEAN,0.06099358746065361
"[15.95, 17.65)",47,0.17279411764705882,34,13,0.2765957446808511,-0.411153001153364,0.03276133255943437,0.0040665634076866,W3_3-5天_外部-平均_MEAN,0.0579875422883614
"[17.65, 19.75)",41,0.15073529411764705,30,11,0.2682926829268293,-0.3692620594442038,0.02280235758779876,0.0028342105355717,W3_3-5天_外部-平均_MEAN,0.053565492054766
"[19.75, 23.75)",45,0.16544117647058823,36,9,0.2,0.013730192811902037,3.106118189537962e-05,3.882617239313129e-06,W3_3-5天_外部-平均_MEAN,0.0495485703990664
"[23.75, 27.05)",17,0.0625,16,1,0.058823529411764705,1.4000245539317926,0.07777262499009456,0.0089980962901631,W3_3-5天_外部-平均_MEAN,0.0459141444447068
"[27.05, inf)",80,0.29411764705882354,75,5,0.0625,1.3354860327942213,0.34016569247544476,0.0396182396182202,W3_3-5天_外部-平均_MEAN,0.0415999234925427
,272,1.0,217,55,0.20220588235294118,,0.6253025762817797,0.07389367270798192,W3_3-5天_外部-平均_MEAN,0.05081452330171787
"[-inf, 15.50)",52,0.19117647058823528,40,12,0.23076923076923078,-0.1685913639820526,0.005706821202241241,0.0007125090300455,W3_6-8天_外部-平均_MEAN,0.054861203328444005
"[15.50, 16.65)",15,0.05514705882352941,9,6,0.4,-0.9670990601998242,0.06539161638720219,0.0078696013670831,W3_6-8天_外部-平均_MEAN,0.0590993834741334
"[16.65, 17.20)",17,0.0625,8,9,0.5294117647058824,-1.4903472039643721,0.18893132129016296,0.0216479231067775,W3_6-8天_外部-平均_MEAN,0.0642609353549464
"[17.20, 17.85)",16,0.058823529411764705,6,10,0.625,-1.8833897920739793,0.2903592138597505,0.0317318981655208,W3_6-8天_外部-平均_MEAN,0.0688788174534905
"[17.85, 23.20)",82,0.3014705882352941,67,15,0.18292682926829268,0.12407824998076751,0.0044703516959974906,0.0017442672504828,W3_6-8天_外部-平均_MEAN,0.051291082985925836
"[23.20, inf)",90,0.33088235294117646,87,3,0.03333333333333333,1.9947316616784854,0.6909275818499252,0.074401983549554,W3_6-8天_外部-平均_MEAN,0.0409101247526702
,272,1.0,217,55,0.20220588235294118,,1.2457869062852795,0.13810818246946371,W3_6-8天_外部-平均_MEAN,0.05081452330171787
"[-inf, 17.30)",106,0.3897058823529412,69,37,0.3490566037735849,-0.7493755763549537,0.2658446745108399,0.037692273978572305,W3_9-11天_外部-平均_MEAN,0.05768673294056523
"[17.30, 21.45)",56,0.20588235294117646,44,12,0.21428571428571427,-0.07328118417772773,0.0011297643811229061,0.0001411889572484,W3_9-11天_外部-平均_MEAN,0.0548275457839019
"[21.45, 22.65)",16,0.058823529411764705,13,3,0.1875,0.09377290048543836,0.0005028458844631801,6.283271597380896e-05,W3_9-11天_外部-平均_MEAN,0.0496121118848589
"[22.65, 26.55)",40,0.14705882352941177,38,2,0.05,1.5718748108584517,0.2181000994370839,0.0247624330949418,W3_9-11天_外部-平均_MEAN,0.044379127860223
