Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 65.70)",146,0.5367647058823529,108,38,0.2602739726027397,-0.3280191009101545,0.0633776327355523,0.0078868773349117,W3_0-2天_湿度内部平均_MEAN,0.0538680844311846
"[65.70, 68.05)",27,0.0992647058823529,26,1,0.037037037037037,1.8855323697134936,0.1916339140731016,0.020936869030209,W3_0-2天_湿度内部平均_MEAN,0.0454420815422319
"[68.05, 71.00)",28,0.1029411764705882,25,3,0.1071428571428571,0.7476993678921025,0.0453568782868774,0.0055411268688047,W3_0-2天_湿度内部平均_MEAN,0.0465355170384432
"[71.00, inf)",71,0.2610294117647059,58,13,0.1830985915492957,0.122929484776894,0.0038006686118704,0.0004747846647976,W3_0-2天_湿度内部平均_MEAN,0.0482659060901076
,272,1.0,217,55,0.20220588235294118,,0.3041690937074017,0.034839657898722995,W3_0-2天_湿度内部平均_MEAN,0.05081452330171787
"[-inf, 68.00)",87,0.31985294117647056,63,24,0.27586206896551724,-0.40748327226440145,0.059509287269111984,0.0073876204582365,W3_3-5天_湿度内部平均_MEAN,0.0554359340392719
"[68.00, 70.45)",28,0.10294117647058823,27,1,0.03571428571428571,1.9232726976963406,0.20433261673053707,0.0222141520307098,W3_3-5天_湿度内部平均_MEAN,0.0424400466145202
"[70.45, inf)",157,0.5772058823529411,127,30,0.1910828025477707,0.07042553648844747,0.0028028596423973692,0.0003502850696018,W3_3-5天_湿度内部平均_MEAN,0.0497471514104716
,272,1.0,217,55,0.20220588235294118,,0.2666447636420464,0.029952057558548097,W3_3-5天_湿度内部平均_MEAN,0.05081452330171787
"(-inf, 66.95)",60,0.2205882352941176,42,18,0.3,-0.5252663079207849,0.0702408904433659,0.0086805470794514,W3_6-8天_湿度内部平均_MEAN,0.0535756683017901
"[66.95, 72.05)",34,0.125,25,9,0.2647058823529412,-0.3509129207760073,0.0169943584590307,0.0021134620835398,W3_6-8天_湿度内部平均_MEAN,0.0555852905793714
"[72.05, 76.75)",64,0.2352941176470588,52,12,0.1875,0.0937729004854384,0.0020113835378527,0.0002513308638952,W3_6-8天_湿度内部平均_MEAN,0.0480730793578782
"[76.75, 78.70)",17,0.0625,14,3,0.1764705882352941,0.1678808726391603,0.0016738855336455,0.000208990325104,W3_6-8天_湿度内部平均_MEAN,0.0522422735987212
"[78.70, 82.25)",22,0.0808823529411764,21,1,0.0454545454545454,1.6719582694154345,0.1314031719071367,0.0147451556343704,W3_6-8天_湿度内部平均_MEAN,0.0470315349052104
"[82.25, inf)",75,0.2757352941176471,63,12,0.16,0.2856639082955439,0.020608012152699,0.0025672782808958,W3_6-8天_湿度内部平均_MEAN,0.0495682781635218
,272,1.0,217,55,0.20220588235294118,,0.24293170203373052,0.0285667642672566,W3_6-8天_湿度内部平均_MEAN,0.05081452330171787
"(-inf, 74.50)",112,0.4117647058823529,82,30,0.2678571428571428,-0.3670423027058909,0.061506879380962,0.007645491205268,W3_9-11天_湿度内部平均_MEAN,0.053866717271489
"[74.50, 84.40)",111,0.4080882352941176,90,21,0.1891891891891892,0.0827230642988534,0.0027239350037242,0.0003403948244303,W3_9-11天_湿度内部平均_MEAN,0.04877495477365
"[84.40, inf)",49,0.1801470588235294,45,4,0.0816326530612244,1.0478039603424407,0.1410826111663428,0.0168704263203434,W3_9-11天_湿度内部平均_MEAN,0.0484583270160275
,272,1.0,217,55,0.20220588235294118,,0.205313425551029,0.0248563123500417,W3_9-11天_湿度内部平均_MEAN,0.05081452330171789
"[-inf, 73.40)",101,0.3713235294117647,71,30,0.297029702970297,-0.5110816729288284,0.11155155073142838,0.0137941393441897,W3_12-14天_湿度内部平均_MEAN,0.054028056336105
"[73.40, 77.25)",18,0.0661764705882353,16,2,0.1111111111111111,0.7068773733718473,0.02641535890438575,0.0032348473433757,W3_12-14天_湿度内部平均_MEAN,0.0490796587407229
"[77.25, 79.45)",23,0.08455882352941177,22,1,0.043478260869565216,1.7184782850503273,0.1429785452077901,0.015953997106524,W3_12-14天_湿度内部平均_MEAN,0.0428505569024476
"[79.45, 83.70)",40,0.14705882352941177,34,6,0.15,0.3620368870801177,0.017229740415710668,0.0021420320443931,W3_12-14天_湿度内部平均_MEAN,0.0478183758092003
"[83.70, inf)",90,0.33088235294117646,74,16,0.17777777777777778,0.15891220265640008,0.007962253639591731,0.0009942357781145,W3_12-14天_湿度内部平均_MEAN,0.050922054996259396
,272,1.0,217,55,0.20220588235294118,,0.30613744889890665,0.036119251616597,W3_12-14天_湿度内部平均_MEAN,0.0508145233017179
"[-inf, 80.15)",161,0.5919117647058824,123,38,0.2360248447204969,-0.19796597266195695,0.024565362841420888,0.0034425933236594,W3_15-17天_湿度内部平均_MEAN,0.05218642874561422
