Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 33.35)",51,0.1875,33,18,0.35294117647058826,-0.7664283647376732,0.13427747889957892,0.016385569769721185,W3_0-2天_鸡舍温度-平均_MEAN,0.055576116851412144
"[33.35, 33.45)",18,0.0661764705882353,14,4,0.2222222222222222,-0.1198011998126205,0.000983704866496591,0.0001228896274238782,W3_0-2天_鸡舍温度-平均_MEAN,0.05100947316843199
"[33.45, 33.55)",20,0.07352941176470588,16,4,0.2,0.01373019281190202,1.3804969731279833e-05,1.7256076619169341e-06,W3_0-2天_鸡舍温度-平均_MEAN,0.05291546604987678
"[33.55, 33.65)",33,0.1213235294117647,27,6,0.18181818181818182,0.13151322846828561,0.0020164994394383114,0.0002518809367252628,W3_0-2天_鸡舍温度-平均_MEAN,0.049978167444938076
"[33.65, 33.85)",59,0.21691176470588236,51,8,0.13559322033898305,0.4798199227365012,0.0429767488399933,0.005321146195147175,W3_0-2天_鸡舍温度-平均_MEAN,0.04935358240933124
"[33.85, 33.95)",22,0.08088235294117647,21,1,0.045454545454545456,1.6719582694154345,0.13140317190713677,0.01474515563437045,W3_0-2天_鸡舍温度-平均_MEAN,0.046031879775163674
"[33.95, 34.15)",50,0.18382352941176472,40,10,0.2,0.01373019281190202,3.451242432819949e-05,4.314019154761815e-06,W3_0-2天_鸡舍温度-平均_MEAN,0.05061841093505466
"[34.15, inf)",19,0.06985294117647059,15,4,0.21052631578947367,-0.05080832832566906,0.0001830547229161093,2.287937946732232e-05,W3_0-2天_鸡舍温度-平均_MEAN,0.04768030268295318
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.3118889760696195,0.03685556116967195,W3_0-2天_鸡舍温度-平均_MEAN,
"(-inf, 31.45)",71,0.2610294117647059,48,23,0.323943661971831,-0.6368573733292473,0.12545049725153415,0.015421566358991487,W3_3-5天_鸡舍温度-平均_MEAN,0.0573762227241391
"[31.45, 31.75)",82,0.3014705882352941,61,21,0.25609756097560976,-0.30621274185810043,0.03083935615529424,0.003839928888413873,W3_3-5天_鸡舍温度-平均_MEAN,0.052819006674090105
"[31.75, 31.85)",29,0.10661764705882353,27,2,0.06896551724137931,1.2301255171363952,0.10832525500715136,0.012746695456304254,W3_3-5天_鸡舍温度-平均_MEAN,0.04769302129608504
"[31.85, inf)",90,0.33088235294117646,81,9,0.1,0.824660409028231,0.17287811842384862,0.021017521592300865,W3_3-5天_鸡舍温度-平均_MEAN,0.04481758177546159
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.4374932268378283,0.053025712296010476,W3_3-5天_鸡舍温度-平均_MEAN,
"(-inf, 29.55)",46,0.16911764705882354,30,16,0.34782608695652173,-0.7439555088856145,0.11357242875488807,0.013877963258113156,W3_6-8天_鸡舍温度-平均_MEAN,0.056546089236825546
"[29.55, 29.65)",18,0.0661764705882353,12,6,0.3333333333333333,-0.6794169877480433,0.03654677051816034,0.004482459517841422,W3_6-8天_鸡舍温度-平均_MEAN,0.055506049498622846
"[29.65, 29.95)",69,0.2536764705882353,49,20,0.2898550724637681,-0.47647614375135305,0.06567266497452667,0.008132299692717008,W3_6-8天_鸡舍温度-平均_MEAN,0.05796334504395625
"[29.95, 30.15)",35,0.12867647058823528,26,9,0.2571428571428571,-0.31169220762272576,0.013658569299261472,0.0017004433223487617,W3_6-8天_鸡舍温度-平均_MEAN,0.055589870328253126
"[30.15, 30.45)",30,0.11029411764705882,28,2,0.06666666666666667,1.2664931613072699,0.1173641756519347,0.013762493543598748,W3_6-8天_鸡舍温度-平均_MEAN,0.04593477030205526
"[30.45, 31.05)",55,0.20220588235294118,54,1,0.01818181818181818,2.616419878256286,0.6035193904348182,0.05934460919778417,W3_6-8天_鸡舍温度-平均_MEAN,0.039582717289588065
"[31.05, inf)",19,0.06985294117647059,18,1,0.05263157894736842,1.517807589588176,0.09830458875171011,0.011229624988972032,W3_6-8天_鸡舍温度-平均_MEAN,0.03795329014143403
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,1.0486385883852996,0.11252989352137531,W3_6-8天_鸡舍温度-平均_MEAN,
"(-inf, 28.45)",35,0.12867647058823528,20,15,0.42857142857142855,-1.0848820958562075,0.1958878019748745,0.02335166939767084,W3_9-11天_鸡舍温度-平均_MEAN,0.056894308856515585
"[28.45, 28.85)",65,0.23897058823529413,44,21,0.3230769230769231,-0.6328969721131505,0.11332223120283222,0.013933496913153286,W3_9-11天_鸡舍温度-平均_MEAN,0.05784939415395983
"[28.85, 28.95)",23,0.08455882352941177,17,6,0.2608695652173913,-0.33111029347982734,0.010181606846007267,0.0012669187343404328,W3_9-11天_鸡舍温度-平均_MEAN,0.057362093753854426
"[28.95, 29.15)",42,0.15441176470588236,34,8,0.19047619047619047,0.07435481462833682,0.0008348173573688422,0.00010432813775506028,W3_9-11天_鸡舍温度-平均_MEAN,0.052704357595307144
"[29.15, 29.75)",52,0.19117647058823528,49,3,0.057692307692307696,1.4206438411345284,0.2433008807104295,0.028088228369732453,W3_9-11天_鸡舍温度-平均_MEAN,0.04570185967380207
"[29.75, inf)",55,0.20220588235294118,53,2,0.03636363636363636,1.904580564684188,0.3959165798895241,0.043148203672565104,W3_9-11天_鸡舍温度-平均_MEAN,0.03928420054004693
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.9594439179810365,0.10989284522521717,W3_9-11天_鸡舍温度-平均_MEAN,
"(-inf, 27.25)",22,0.08088235294117647,20,2,0.09090909090909091,0.9300209246860573,0.05189727154092284,0.006263032223180257,W3_12-14天_鸡舍温度-平均_MEAN,0.042903036954721835
"[27.25, 27.55)",32,0.11764705882352941,20,12,0.375,-0.8617385445419979,0.10859277511446708,0.013169095408836689,W3_12-14天_鸡舍温度-平均_MEAN,0.05655512060870224
"[27.55, 27.75)",28,0.10294117647058823,17,11,0.39285714285714285,-0.9372460970501431,0.11402440996370407,0.013753258894861512,W3_12-14天_鸡舍温度-平均_MEAN,0.0579541968937826
"[27.75, 27.95)",35,0.12867647058823528,25,10,0.2857142857142857,-0.45627343643383345,0.030392742519053013,0.0037664772441570356,W3_12-14天_鸡舍温度-平均_MEAN,0.057791811656207746
"[27.95, 28.55)",80,0.29411764705882354,64,16,0.2,0.01373019281190202,5.521987892511933e-05,6.9024306476677365e-06,W3_12-14天_鸡舍温度-平均_MEAN,0.05507139611847798
"[28.55, 29.05)",32,0.11764705882352941,29,3,0.09375,0.8961193730103756,0.07087865003115165,0.008574798659801116,W3_12-14天_鸡舍温度-平均_MEAN,0.045058952850361524
"[29.05, inf)",43,0.15808823529411764,42,1,0.023255813953488372,2.36510544997538,0.4147604278842455,0.0423740083680303,W3_12-14天_鸡舍温度-平均_MEAN,0.03662536195120773
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7906014969324693,0.08790757322951458,W3_12-14天_鸡舍温度-平均_MEAN,
"(-inf, 26.05)",19,0.06985294117647059,17,2,0.10526315789473684,0.7675019951882822,0.03221772095427979,0.003931193047807983,W3_15-17天_鸡舍温度-平均_MEAN,0.046199122675598746
"[26.05, 26.35)",14,0.051470588235294115,11,3,0.21428571428571427,-0.07328118417772767,0.0002824410952807264,3.5297239312112225e-05,W3_15-17天_鸡舍温度-平均_MEAN,0.050967877198151844
"[26.35, 26.95)",114,0.41911764705882354,84,30,0.2631578947368421,-0.3429447511268302,0.05430796645410215,0.006755423439916065,W3_15-17天_鸡舍温度-平均_MEAN,0.05569702893985749
"[26.95, 27.05)",15,0.05514705882352941,11,4,0.26666666666666666,-0.3609632566295087,0.007954196606079657,0.0009889116442894051,W3_15-17天_鸡舍温度-平均_MEAN,0.05416067647783
