Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 33.35)",51,0.1875,33,18,0.35294117647058826,-0.7664283647376731,0.13427747889957892,0.0163855697697211,W3_0-2天_鸡舍温度-平均_MEAN,0.05557611685141211
"[33.35, 33.85)",130,0.47794117647058826,108,22,0.16923076923076924,0.21852460545791516,0.021348947629989866,0.005697642366958017,W3_0-2天_鸡舍温度-平均_MEAN,0.05028939019894464
"[33.85, 33.95)",22,0.08088235294117647,21,1,0.045454545454545456,1.6719582694154342,0.13140317190713674,0.0147451556343704,W3_0-2天_鸡舍温度-平均_MEAN,0.046031879775163605
"[33.95, inf)",69,0.2536764705882353,55,14,0.2028985507246377,-0.004288312690776143,4.670973186433838e-06,2.7193398622084135e-05,W3_0-2天_鸡舍温度-平均_MEAN,0.04980936663375128
,272,1.0,217,55,0.20220588235294118,,0.28703426940989196,0.0368555611696716,W3_0-2天_鸡舍温度-平均_MEAN,0.05081452330171786
"[-inf, 31.45)",71,0.2610294117647059,48,23,0.323943661971831,-0.6368573733292474,0.12545049725153418,0.0154215663589914,W3_3-5天_鸡舍温度-平均_MEAN,0.0573762227241391
"[31.45, 31.75)",82,0.3014705882352941,61,21,0.25609756097560976,-0.30621274185810043,0.03083935615529424,0.0038399288884138,W3_3-5天_鸡舍温度-平均_MEAN,0.0528190066740901
"[31.75, inf)",119,0.4375,108,11,0.09243697478991597,0.9116717860178605,0.27140090957029395,0.033764217048605,W3_3-5天_鸡舍温度-平均_MEAN,0.045518319137630256
,272,1.0,217,55,0.20220588235294118,,0.4276907629771224,0.053025712296010205,W3_3-5天_鸡舍温度-平均_MEAN,0.05081452330171789
"(-inf, 29.55)",46,0.1691176470588235,30,16,0.3478260869565217,-0.7439555088856145,0.113572428754888,0.0138779632581131,W3_6-8天_鸡舍温度-平均_MEAN,0.0565460892368255
"[29.55, 29.65)",18,0.0661764705882353,12,6,0.3333333333333333,-0.6794169877480433,0.0365467705181603,0.0044824595178414,W3_6-8天_鸡舍温度-平均_MEAN,0.0555060494986228
"[29.65, 29.95)",69,0.2536764705882353,49,20,0.2898550724637681,-0.476476143751353,0.0656726649745266,0.008132299692717,W3_6-8天_鸡舍温度-平均_MEAN,0.0579633450439562
"[29.95, 30.15)",35,0.1286764705882352,26,9,0.2571428571428571,-0.3116922076227257,0.0136585692992614,0.0017004433223487,W3_6-8天_鸡舍温度-平均_MEAN,0.0555898703282531
"[30.15, 30.45)",30,0.1102941176470588,28,2,0.0666666666666666,1.26649316130727,0.1173641756519347,0.0137624935435987,W3_6-8天_鸡舍温度-平均_MEAN,0.0459347703020552
"[30.45, 31.05)",55,0.2022058823529411,54,1,0.0181818181818181,2.616419878256286,0.6035193904348182,0.0593446091977841,W3_6-8天_鸡舍温度-平均_MEAN,0.039582717289588
"[31.05, inf)",19,0.0698529411764705,18,1,0.0526315789473684,1.517807589588176,0.0983045887517101,0.011229624988972,W3_6-8天_鸡舍温度-平均_MEAN,0.037953290141434
,272,1.0,217,55,0.20220588235294118,,1.048638588385299,0.112529893521375,W3_6-8天_鸡舍温度-平均_MEAN,0.05081452330171787
"[-inf, 28.95)",123,0.4522058823529412,81,42,0.34146341463414637,-0.7157846319189182,0.2794168915048379,0.0385520850451644,W3_9-11天_鸡舍温度-平均_MEAN,0.05748650070182179
"[28.95, 29.15)",42,0.15441176470588236,34,8,0.19047619047619047,0.07435481462833686,0.0008348173573688425,0.000104328137755,W3_9-11天_鸡舍温度-平均_MEAN,0.0527043575953071
"[29.15, 29.75)",52,0.19117647058823528,49,3,0.057692307692307696,1.4206438411345284,0.2433008807104295,0.0280882283697324,W3_9-11天_鸡舍温度-平均_MEAN,0.045701859673802
"[29.75, inf)",55,0.20220588235294118,53,2,0.03636363636363636,1.9045805646841878,0.39591657988952406,0.0431482036725651,W3_9-11天_鸡舍温度-平均_MEAN,0.0392842005400469
,272,1.0,217,55,0.20220588235294118,,0.9194691694621604,0.1098928452252169,W3_9-11天_鸡舍温度-平均_MEAN,0.05081452330171787
"(-inf, 27.25)",22,0.0808823529411764,20,2,0.0909090909090909,0.9300209246860572,0.0518972715409228,0.0062630322231802,W3_12-14天_鸡舍温度-平均_MEAN,0.0429030369547218
"[27.25, 27.55)",32,0.1176470588235294,20,12,0.375,-0.8617385445419979,0.108592775114467,0.0131690954088366,W3_12-14天_鸡舍温度-平均_MEAN,0.0565551206087022
"[27.55, 27.75)",28,0.1029411764705882,17,11,0.3928571428571428,-0.9372460970501432,0.114024409963704,0.0137532588948615,W3_12-14天_鸡舍温度-平均_MEAN,0.0579541968937826
"[27.75, 27.95)",35,0.1286764705882352,25,10,0.2857142857142857,-0.4562734364338334,0.030392742519053,0.003766477244157,W3_12-14天_鸡舍温度-平均_MEAN,0.0577918116562077
"[27.95, 28.55)",80,0.2941176470588235,64,16,0.2,0.013730192811902,5.521987892511933e-05,6.9024306476677365e-06,W3_12-14天_鸡舍温度-平均_MEAN,0.0550713961184779
"[28.55, 29.05)",32,0.1176470588235294,29,3,0.09375,0.8961193730103756,0.0708786500311516,0.0085747986598011,W3_12-14天_鸡舍温度-平均_MEAN,0.0450589528503615
"[29.05, inf)",43,0.1580882352941176,42,1,0.0232558139534883,2.36510544997538,0.4147604278842455,0.0423740083680303,W3_12-14天_鸡舍温度-平均_MEAN,0.0366253619512077
,272,1.0,217,55,0.20220588235294118,,0.790601496932469,0.08790757322951437,W3_12-14天_鸡舍温度-平均_MEAN,0.05081452330171788
"[-inf, 26.05)",19,0.06985294117647059,17,2,0.10526315789473684,0.7675019951882822,0.03221772095427979,0.0039311930478079,W3_15-17天_鸡舍温度-平均_MEAN,0.0461991226755987
"[26.05, 26.35)",14,0.051470588235294115,11,3,0.21428571428571427,-0.07328118417772773,0.00028244109528072653,3.5297239312112225e-05,W3_15-17天_鸡舍温度-平均_MEAN,0.0509678771981518
"[26.35, 27.75)",172,0.6323529411764706,126,46,0.26744186046511625,-0.36492365784560554,0.09331772130245393,0.0129771245459929,W3_15-17天_鸡舍温度-平均_MEAN,0.05524732710627283
"[27.75, 28.15)",22,0.08088235294117647,20,2,0.09090909090909091,0.9300209246860572,0.05189727154092285,0.0062630322231802,W3_15-17天_鸡舍温度-平均_MEAN,0.0461989076679947
"[28.15, inf)",45,0.16544117647058823,43,2,0.044444444444444446,1.6954887668256287,0.27431829147384074,0.0306949974747874,W3_15-17天_鸡舍温度-平均_MEAN,0.0380288998995988
,272,1.0,217,55,0.20220588235294118,,0.452033446366778,0.05390164453108051,W3_15-17天_鸡舍温度-平均_MEAN,0.05081452330171786
