Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 41.15)",82,0.20297029702970298,69,13,0.15853658536585366,0.285953978585505,0.015192295617240068,0.0018925931382803313,湿度内部平均_MEAN_0,315.1321651329412
"[41.15, 50.55)",100,0.24752475247524752,92,8,0.08,1.0591438668189865,0.19706885080743142,0.023543143604775413,湿度内部平均_MEAN_0,289.7804254163747
"[50.55, 57.25)",92,0.22772277227722773,80,12,0.13043478260869565,0.5139168163356636,0.051150074140506374,0.006324314684243878,湿度内部平均_MEAN_0,321.1388914914606
"[57.25, 61.95)",42,0.10396039603960396,28,14,0.3333333333333333,-0.6900559879902725,0.059449841261708276,0.0072872124843561085,湿度内部平均_MEAN_0,341.5039802774847
"[61.95, inf)",88,0.21782178217821782,54,34,0.38636363636363635,-0.9205796466021047,0.23251119155856392,0.02807922573987138,湿度内部平均_MEAN_0,341.666917564935
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_0,
,404,1.0,323,81,0.2004950495049505,,0.55537225338545,0.06712648965152712,湿度内部平均_MEAN_0,
"(-inf, 48.55)",72,0.1782178217821782,60,12,0.16666666666666666,0.22623474388388254,0.008508771470463656,0.0010613340074576705,湿度内部平均_MEAN_1,309.7568060470338
"[48.55, 55.15)",74,0.18316831683168316,70,4,0.05405405405405406,1.4789977123792508,0.24748889595215992,0.028392815744370428,湿度内部平均_MEAN_1,295.54714117474794
"[55.15, 57.15)",51,0.12623762376237624,46,5,0.09803921568627451,0.8360003155047768,0.06745391071477218,0.008194472430330842,湿度内部平均_MEAN_1,311.23999829213557
"[57.15, 63.30)",77,0.1905940594059406,62,15,0.19480519480519481,0.03588101539266364,0.00024274508750913426,3.0341508327262796e-05,湿度内部平均_MEAN_1,322.9243801210279
"[63.30, 67.85)",57,0.14108910891089108,42,15,0.2631578947368421,-0.3535837513690594,0.019501637932406557,0.0024250850338803226,湿度内部平均_MEAN_1,335.19711913967006
"[67.85, inf)",73,0.1806930693069307,43,30,0.410958904109589,-1.0232004345188106,0.2427475861735373,0.029085419099496565,湿度内部平均_MEAN_1,339.12167892636484
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_1,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_1,
,404,1.0,323,81,0.2004950495049505,,0.5859435473308487,0.0691894678238631,湿度内部平均_MEAN_1,
"(-inf, 58.45)",141,0.349009900990099,124,17,0.12056737588652482,0.6038650529986032,0.10508724482294231,0.012939889661148618,湿度内部平均_MEAN_2,306.35585738858765
"[58.45, 62.65)",63,0.15594059405940594,55,8,0.12698412698412698,0.5446884750024172,0.03895241894008802,0.004809740579028221,湿度内部平均_MEAN_2,304.47521695725766
"[62.65, 69.35)",91,0.22524752475247525,70,21,0.23076923076923078,-0.17923036422428185,0.00762463767081854,0.0009518060760308079,湿度内部平均_MEAN_2,331.64178652673047
"[69.35, 73.55)",49,0.12128712871287128,34,15,0.30612244897959184,-0.5648928450362665,0.04514738137716749,0.005569564848031797,湿度内部平均_MEAN_2,329.7808073359764
"[73.55, inf)",60,0.1485148514851485,40,20,0.3333333333333333,-0.6900559879902725,0.08492834465958327,0.010410303549080149,湿度内部平均_MEAN_2,334.2789553938043
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_2,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_2,
,404,1.0,323,81,0.2004950495049505,,0.2817400274705996,0.034681304713319594,湿度内部平均_MEAN_2,
"(-inf, 55.55)",68,0.16831683168316833,57,11,0.16176470588235295,0.26195282648596185,0.010653128745979575,0.0013278467642214957,湿度内部平均_MEAN_3,314.76883572242116
"[55.55, 61.95)",69,0.1707920792079208,62,7,0.10144927536231885,0.7980210674395605,0.08421573088715463,0.010256236248918953,湿度内部平均_MEAN_3,302.3023512894417
"[61.95, 71.35)",144,0.3564356435643564,118,26,0.18055555555555555,0.129384917893965,0.005736593844627887,0.0007165744759301158,湿度内部平均_MEAN_3,317.67310011665785
"[71.35, inf)",123,0.30445544554455445,86,37,0.3008130081300813,-0.5397737849409345,0.10284647471354805,0.012701980759400135,湿度内部平均_MEAN_3,331.4263783107872
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_3,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_3,
,404,1.0,323,81,0.2004950495049505,,0.20345192819131014,0.0250026382484707,湿度内部平均_MEAN_3,
"(-inf, 64.75)",149,0.3688118811881188,121,28,0.18791946308724833,0.08038286687131935,0.00232579712653705,0.0002906463956897417,湿度内部平均_MEAN_4,314.1516251981797
"[64.75, 67.95)",43,0.10643564356435643,41,2,0.046511627906976744,1.6372217175941448,0.16739548578390617,0.018861720707424447,湿度内部平均_MEAN_4,300.8097345780501
"[67.95, 70.35)",56,0.13861386138613863,48,8,0.14285714285714285,0.4085563006778372,0.02036300944402017,0.002527819713218516,湿度内部平均_MEAN_4,320.49554784313943
"[70.35, 74.45)",58,0.14356435643564355,45,13,0.22413793103448276,-0.14149003624143464,0.002996043270181355,0.00037419333009271107,湿度内部平均_MEAN_4,317.3552964976163
"[74.45, inf)",98,0.24257425742574257,68,30,0.30612244897959184,-0.5648928450362665,0.09029476275433498,0.011139129696063593,湿度内部平均_MEAN_4,333.42597346591
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_4,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_4,
,404,1.0,323,81,0.2004950495049505,,0.28337509837897973,0.033193509842489005,湿度内部平均_MEAN_4,
"(-inf, 57.15)",60,0.1485148514851485,48,12,0.2,0.0030911925696728293,1.4178156494314321e-06,1.772268856252456e-07,湿度内部平均_MEAN_5,316.7845300389509
"[57.15, 63.15)",55,0.13613861386138615,45,10,0.18181818181818182,0.12087422822605642,0.0019173185305130687,0.0002395190210768873,湿度内部平均_MEAN_5,318.80924981162474
"[63.15, 69.45)",94,0.23267326732673269,79,15,0.1595744680851064,0.2781944828145937,0.016523878236206803,0.0020588499321621268,湿度内部平均_MEAN_5,310.9907866457565
"[69.45, 71.50)",45,0.11138613861386139,41,4,0.08888888888888889,0.9440745370341994,0.07321512195246686,0.008826479265251467,湿度内部平均_MEAN_5,312.70142263957365
"[71.50, 79.20)",78,0.19306930693069307,64,14,0.1794871794871795,0.13662258519419535,0.0034569487978655966,0.00043178283768080094,湿度内部平均_MEAN_5,314.67652928979373
"[79.20, inf)",72,0.1782178217821782,46,26,0.3611111111111111,-0.8126583100826048,0.14511866470610896,0.017656596181603187,湿度内部平均_MEAN_5,338.6453642647141
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_5,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_5,
,404,1.0,323,81,0.2004950495049505,,0.24023335003881074,0.029213404464660093,湿度内部平均_MEAN_5,
"(-inf, 73.45)",258,0.6386138613861386,208,50,0.1937984496124031,0.04231190572295418,0.0011288350034255258,0.00014109385058736455,湿度内部平均_MEAN_6,318.0580198030693
"[73.45, 78.50)",64,0.15841584158415842,61,3,0.046875,1.6290584069549836,0.247319496710056,0.027894177267198512,湿度内部平均_MEAN_6,298.96797014452414
"[78.50, inf)",82,0.20297029702970298,54,28,0.34146341463414637,-0.7264236321611474,0.12966396675429265,0.015860773167083328,湿度内部平均_MEAN_6,336.34871730097836
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_6,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_6,
,404,1.0,323,81,0.2004950495049505,,0.37811229846777417,0.04389604428486921,湿度内部平均_MEAN_6,
"(-inf, 63.05)",78,0.19306930693069307,68,10,0.1282051282051282,0.5337194436318433,0.04647069879575503,0.00574085938631063,湿度内部平均_MEAN_7,305.43168813013597
"[63.05, 72.45)",149,0.3688118811881188,122,27,0.18120805369127516,0.12498101017870988,0.005546112938786912,0.0006928132627501086,湿度内部平均_MEAN_7,320.1077747307818
"[72.45, 76.80)",65,0.1608910891089109,52,13,0.2,0.0030911925696728293,1.5359669535507324e-06,1.9199579273388714e-07,湿度内部平均_MEAN_7,320.91764283140304
"[76.80, 81.75)",48,0.1188118811881188,37,11,0.22916666666666666,-0.17018052870436362,0.0036165720276583797,0.00045152676597660923,湿度内部平均_MEAN_7,313.21342523610576
"[81.75, inf)",64,0.15841584158415842,44,20,0.3125,-0.5947458081859475,0.06583281200575257,0.008109922600053984,湿度内部平均_MEAN_7,333.74832363609846
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_7,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_7,
,404,1.0,323,81,0.2004950495049505,,0.12146773173490644,0.014995314010884067,湿度内部平均_MEAN_7,
"(-inf, 59.85)",53,0.1311881188118812,43,10,0.18867924528301888,0.07541185414929896,0.0007292435538651039,9.113385052946822e-05,湿度内部平均_MEAN_8,306.47768221705223
"[59.85, 65.15)",53,0.1311881188118812,50,3,0.05660377358490566,1.4302075482098187,0.1684237073743245,0.019424180607762388,湿度内部平均_MEAN_8,312.19316660787075
"[65.15, 77.35)",196,0.48514851485148514,157,39,0.1989795918367347,0.009480990668443878,4.348579597956189e-05,5.435704138668411e-06,湿度内部平均_MEAN_8,320.61119156066354
"[77.35, 84.05)",42,0.10396039603960396,32,10,0.23809523809523808,-0.22005235874453688,0.005366104990980177,0.0006694130424794919,湿度内部平均_MEAN_8,313.28681622616625
"[84.05, inf)",60,0.1485148514851485,41,19,0.31666666666666665,-0.6140700810123504,0.06609415388643422,0.008134361381116225,湿度内部平均_MEAN_8,333.1019867001952
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_8,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_8,
,404,1.0,323,81,0.2004950495049505,,0.24065669560158356,0.02832452458602624,湿度内部平均_MEAN_8,
"(-inf, 61.85)",72,0.1782178217821782,60,12,0.16666666666666666,0.22623474388388254,0.008508771470463656,0.0010613340074576705,湿度内部平均_MEAN_9,312.103079909099
"[61.85, 66.65)",55,0.13613861386138615,51,4,0.07272727272727272,1.1623281030542172,0.126126571286585,0.014934260365097974,湿度内部平均_MEAN_9,320.09885793947404
