Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 41.15)",82,0.202970297,69,13,0.158536585,0.285953979,0.015192296,0.001892593,湿度内部平均_MEAN_0,315.1321651
"[41.15, 50.55)",100,0.247524752,92,8,0.08,1.059143867,0.197068851,0.023543144,湿度内部平均_MEAN_0,289.7804254
"[50.55, 57.25)",92,0.227722772,80,12,0.130434783,0.513916816,0.051150074,0.006324315,湿度内部平均_MEAN_0,321.1388915
"[57.25, inf)",130,0.321782178,82,48,0.369230769,-0.847684932,0.287130064,0.035366438,湿度内部平均_MEAN_0,341.6142763
,404,1,323,81,0.20049505,,0.550541285,0.06712649,湿度内部平均_MEAN_0,318.7463218
"[-inf, 48.55)",72,0.178217822,60,12,0.166666667,0.226234744,0.008508771,0.001061334,湿度内部平均_MEAN_1,309.756806
"[48.55, 55.15)",74,0.183168317,70,4,0.054054054,1.478997712,0.247488896,0.028392816,湿度内部平均_MEAN_1,295.5471412
"[55.15, 57.15)",51,0.126237624,46,5,0.098039216,0.836000316,0.067453911,0.008194472,湿度内部平均_MEAN_1,311.2399983
"[57.15, 63.30)",77,0.190594059,62,15,0.194805195,0.035881015,0.000242745,3.03E-05,湿度内部平均_MEAN_1,322.9243801
"[63.30, 67.85)",57,0.141089109,42,15,0.263157895,-0.353583751,0.019501638,0.002425085,湿度内部平均_MEAN_1,335.1971191
"[67.85, inf)",73,0.180693069,43,30,0.410958904,-1.023200435,0.242747586,0.029085419,湿度内部平均_MEAN_1,339.1216789
,404,1,323,81,0.20049505,,0.585943547,0.069189468,湿度内部平均_MEAN_1,318.7463218
"[-inf, 62.65)",204,0.504950495,179,25,0.12254902,0.585306812,0.143714825,0.01774963,湿度内部平均_MEAN_2,305.7750714
"[62.65, 73.55)",140,0.346534653,104,36,0.257142857,-0.322331208,0.039473653,0.006521371,湿度内部平均_MEAN_2,330.9904438
"[73.55, inf)",60,0.148514851,40,20,0.333333333,-0.690055988,0.084928345,0.010410304,湿度内部平均_MEAN_2,334.2789554
,404,1,323,81,0.20049505,,0.268116823,0.034681305,湿度内部平均_MEAN_2,318.7463218
"[-inf, 55.55)",68,0.168316832,57,11,0.161764706,0.261952826,0.010653129,0.001327847,湿度内部平均_MEAN_3,314.7688357
"[55.55, 61.95)",69,0.170792079,62,7,0.101449275,0.798021067,0.084215731,0.010256236,湿度内部平均_MEAN_3,302.3023513
"[61.95, 71.35)",144,0.356435644,118,26,0.180555556,0.129384918,0.005736594,0.000716574,湿度内部平均_MEAN_3,317.6731001
"[71.35, inf)",123,0.304455446,86,37,0.300813008,-0.539773785,0.102846475,0.012701981,湿度内部平均_MEAN_3,331.4263783
,404,1,323,81,0.20049505,,0.203451928,0.025002638,湿度内部平均_MEAN_3,318.7463218
"[-inf, 64.75)",149,0.368811881,121,28,0.187919463,0.080382867,0.002325797,0.000290646,湿度内部平均_MEAN_4,314.1516252
"[64.75, 67.95)",43,0.106435644,41,2,0.046511628,1.637221718,0.167395486,0.018861721,湿度内部平均_MEAN_4,300.8097346
"[67.95, 70.35)",56,0.138613861,48,8,0.142857143,0.408556301,0.020363009,0.00252782,湿度内部平均_MEAN_4,320.4955478
"[70.35, 74.45)",58,0.143564356,45,13,0.224137931,-0.141490036,0.002996043,0.000374193,湿度内部平均_MEAN_4,317.3552965
"[74.45, inf)",98,0.242574257,68,30,0.306122449,-0.564892845,0.090294763,0.01113913,湿度内部平均_MEAN_4,333.4259735
,404,1,323,81,0.20049505,,0.283375098,0.03319351,湿度内部平均_MEAN_4,318.7463218
"[-inf, 63.15)",115,0.284653465,93,22,0.191304348,0.058353871,0.000952379,0.000239696,湿度内部平均_MEAN_5,317.7528743
"[63.15, 79.20)",217,0.537128713,184,33,0.152073733,0.335225028,0.054390943,0.011317112,湿度内部平均_MEAN_5,312.670356
"[79.20, inf)",72,0.178217822,46,26,0.361111111,-0.81265831,0.145118665,0.017656596,湿度内部平均_MEAN_5,338.6453643
,404,1,323,81,0.20049505,,0.200461987,0.029213404,湿度内部平均_MEAN_5,318.7463218
"[-inf, 73.45)",258,0.638613861,208,50,0.19379845,0.042311906,0.001128835,0.000141094,湿度内部平均_MEAN_6,318.0580198
"[73.45, 78.50)",64,0.158415842,61,3,0.046875,1.629058407,0.247319497,0.027894177,湿度内部平均_MEAN_6,298.9679701
"[78.50, inf)",82,0.202970297,54,28,0.341463415,-0.726423632,0.129663967,0.015860773,湿度内部平均_MEAN_6,336.3487173
,404,1,323,81,0.20049505,,0.378112298,0.043896044,湿度内部平均_MEAN_6,318.7463218
"[-inf, 63.05)",78,0.193069307,68,10,0.128205128,0.533719444,0.046470699,0.005740859,湿度内部平均_MEAN_7,305.4316881
"[63.05, 76.80)",214,0.52970297,174,40,0.186915888,0.086972677,0.003902684,0.000693005,湿度内部平均_MEAN_7,320.3537627
"[76.80, 81.75)",48,0.118811881,37,11,0.229166667,-0.170180529,0.003616572,0.000451527,湿度内部平均_MEAN_7,313.2134252
"[81.75, inf)",64,0.158415842,44,20,0.3125,-0.594745808,0.065832812,0.008109923,湿度内部平均_MEAN_7,333.7483236
,404,1,323,81,0.20049505,,0.119822767,0.014995314,湿度内部平均_MEAN_7,318.7463218
"[-inf, 59.85)",53,0.131188119,43,10,0.188679245,0.075411854,0.000729244,9.11E-05,湿度内部平均_MEAN_8,306.4776822
"[59.85, 65.15)",53,0.131188119,50,3,0.056603774,1.430207548,0.168423707,0.019424181,湿度内部平均_MEAN_8,312.1931666
"[65.15, 77.35)",196,0.485148515,157,39,0.198979592,0.009480991,4.35E-05,5.44E-06,湿度内部平均_MEAN_8,320.6111916
"[77.35, 84.05)",42,0.103960396,32,10,0.238095238,-0.220052359,0.005366105,0.000669413,湿度内部平均_MEAN_8,313.2868162
"[84.05, inf)",60,0.148514851,41,19,0.316666667,-0.614070081,0.066094154,0.008134361,湿度内部平均_MEAN_8,333.1019867
,404,1,323,81,0.20049505,,0.240656696,0.028324525,湿度内部平均_MEAN_8,318.7463218
"(-inf, 61.85)",72,0.178217822,60,12,0.166666667,0.226234744,0.008508771,0.001061334,湿度内部平均_MEAN_9,312.1030799
"[61.85, 66.65)",55,0.136138614,51,4,0.072727273,1.162328103,0.126126571,0.01493426,湿度内部平均_MEAN_9,320.0988579
"[66.65, 77.45)",168,0.415841584,133,35,0.208333333,-0.048202102,0.000980144,0.000122506,湿度内部平均_MEAN_9,318.2512679
"[77.45, 84.05)",46,0.113861386,35,11,0.239130435,-0.22575038,0.006195344,0.000772778,湿度内部平均_MEAN_9,313.9723661
"[84.05, inf)",63,0.155940594,44,19,0.301587302,-0.543452514,0.053445833,0.006599712,湿度内部平均_MEAN_9,329.963702
,404,1,323,81,0.20049505,,0.195256663,0.02349059,湿度内部平均_MEAN_9,318.7463218
"[-inf, 71.55)",183,0.452970297,155,28,0.153005464,0.328017438,0.044019005,0.012698916,湿度内部平均_MEAN_10,318.887085
"[71.55, 84.15)",150,0.371287129,119,31,0.206666667,-0.03806688,0.000544166,8.99E-05,湿度内部平均_MEAN_10,312.8445133
"[84.15, inf)",71,0.175742574,49,22,0.309859155,-0.582425324,0.06983405,0.008607931,湿度内部平均_MEAN_10,330.8521192
,404,1,323,81,0.20049505,,0.11439722,0.02139676,湿度内部平均_MEAN_10,318.7463218
"[-inf, 65.75)",87,0.215346535,69,18,0.206896552,-0.039468422,0.000339426,4.24E-05,湿度内部平均_MEAN_11,320.3289767
"[65.75, 70.45)",84,0.207920792,72,12,0.142857143,0.408556301,0.030544514,0.00379173,湿度内部平均_MEAN_11,315.8831039
"[70.45, 74.45)",46,0.113861386,43,3,0.065217391,1.279384658,0.122935941,0.014397853,湿度内部平均_MEAN_11,312.019022
"[74.45, 79.45)",65,0.160891089,53,12,0.184615385,0.102182095,0.001628633,0.000203491,湿度内部平均_MEAN_11,307.7337928
"[79.45, 85.15)",42,0.103960396,33,9,0.214285714,-0.083920184,0.000750576,9.38E-05,湿度内部平均_MEAN_11,314.7608731
"[85.15, inf)",80,0.198019802,53,27,0.3375,-0.708748121,0.119953242,0.014688001,湿度内部平均_MEAN_11,334.9398012
,404,1,323,81,0.20049505,,0.276152333,0.033217295,湿度内部平均_MEAN_11,318.7463218
"(-inf, 63.15)",45,0.111386139,34,11,0.244444444,-0.254737917,0.007779521,0.000969819,湿度内部平均_MEAN_12,318.6713947
"[63.15, 67.75)",64,0.158415842,59,5,0.078125,1.084896363,0.131201013,0.015640376,湿度内部平均_MEAN_12,318.0648728
"[67.75, 79.35)",157,0.388613861,131,26,0.165605096,0.233897617,0.019784254,0.00246741,湿度内部平均_MEAN_12,312.0241252
"[79.35, 85.50)",56,0.138613861,43,13,0.232142857,-0.18695241,0.005116306,0.000638609,湿度内部平均_MEAN_12,315.484631
"[85.50, inf)",82,0.202970297,56,26,0.317073171,-0.615948016,0.09092196,0.011188924,湿度内部平均_MEAN_12,334.4173462
,404,1,323,81,0.20049505,,0.254803053,0.030905138,湿度内部平均_MEAN_12,318.7463218
"[-inf, 66.65)",72,0.178217822,57,15,0.208333333,-0.048202102,0.000420062,5.25E-05,湿度内部平均_MEAN_13,321.4057543
"[66.65, 76.45)",140,0.346534653,113,27,0.192857143,0.048347784,0.000798312,9.98E-05,湿度内部平均_MEAN_13,315.2687498
"[76.45, 81.85)",70,0.173267327,65,5,0.071428571,1.181746189,0.164865405,0.019486956,湿度内部平均_MEAN_13,310.7848373
"[81.85, inf)",122,0.301980198,88,34,0.278688525,-0.432226879,0.06367016,0.007897391,湿度内部平均_MEAN_13,325.735542
