Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,Mortality_rate
"(-inf, -0.03)",1630,0.050115295926210605,430,1200,0.7361963190184049,-2.4434244965826855,0.4219063866279968,0.042601542490047425,water_per_diff,0.007204824517222319
"[-0.03, -0.02)",2234,0.06868562644119908,1591,643,0.28782452999104746,-0.5111595653940343,0.020727400615156082,0.0025630815179191954,water_per_diff,0.0019818698578899854
"[-0.02, -0.01)",2719,0.08359723289777095,2212,507,0.18646561235748438,0.05600848955684046,0.00025777124286454576,3.22171944782605e-05,water_per_diff,0.0013735571080535874
"[-0.01, -0.01)",2240,0.06887009992313604,1851,389,0.17366071428571428,0.14276909946084948,0.0013430391424559434,0.00016773745885390566,water_per_diff,0.00130033196867633
"[-0.01, -0.00)",3961,0.12178324365872406,3389,572,0.14440797778338804,0.36201831073305146,0.01423433848353505,0.001769639320437482,water_per_diff,0.0012040699963230942
"[-0.00, 0.00)",2476,0.0761260568793236,2143,333,0.13449111470113084,0.44468663599893143,0.01306734196190565,0.0016200909960340367,water_per_diff,0.001151020631331778
"[0.00, 0.00)",1641,0.05045349730976172,1444,197,0.12004875076173065,0.5748357212205815,0.013862472791685005,0.001709338812437641,water_per_diff,0.0011547675732239162
"[0.00, 0.01)",5399,0.16599538816295156,4594,805,0.1491016854973143,0.32453123633627845,0.015782799965846292,0.001964237764629024,water_per_diff,0.0012300362281740722
"[0.01, inf)",8099,0.24900845503458877,6832,1267,0.15643906655142611,0.26783268565306484,0.016423288779205687,0.002046797011393948,water_per_diff,0.0011892485472052776
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff,
Missing,2126,0.06536510376633359,1693,433,0.20366886171213547,-0.05361321536355623,0.00019095964002839791,2.3867096612422713e-05,water_per_diff,0.001428570565406153
,32525,1.0,26179,6346,0.19511145272867025,,0.5177957992506795,0.05449854966284334,water_per_diff,
"(-inf, -0.03)",1637,0.05033051498847041,511,1126,0.6878436163714111,-2.207190087990133,0.3485487368522355,0.036439603743674595,water_per_diff_前1天,0.006749790627326084
"[-0.03, -0.02)",2153,0.06619523443504996,1551,602,0.2796098467254993,-0.47073515162648405,0.01676614812965994,0.0020766302014870964,water_per_diff_前1天,0.0020097059190860717
"[-0.02, -0.01)",1627,0.05002305918524212,1303,324,0.19913952059004303,-0.025451808161685907,3.265631353047757e-05,4.081929014763193e-06,water_per_diff_前1天,0.0013562219642146984
"[-0.01, -0.01)",3099,0.09528055342044581,2541,558,0.18005808325266215,0.09882115144465131,0.0009025460955121093,0.00011277237849757022,water_per_diff_前1天,0.001408881704639234
"[-0.01, 0.00)",8911,0.2739738662567256,7551,1360,0.15262035686230502,0.29706243557912604,0.022020962502119955,0.0027425435944999285,water_per_diff_前1天,0.0012763821816288762
"[0.00, 0.01)",3153,0.09694081475787855,2735,418,0.1325721535045988,0.4612724128371233,0.017807323452106064,0.0022063891335858243,water_per_diff_前1天,0.0011517290782506336
"[0.01, 0.01)",2022,0.06216756341275942,1722,300,0.14836795252225518,0.3303263408372732,0.006112371919320169,0.0007605916104995499,water_per_diff_前1天,0.0011711776832233573
"[0.01, 0.02)",3759,0.11557263643351268,3175,584,0.15536046820963023,0.27602905900436303,0.008074938146256887,0.0010061750198263365,water_per_diff_前1天,0.0011819525845613089
"[0.02, inf)",3508,0.10785549577248271,2914,594,0.169327251995439,0.17326979789830332,0.003068317601680243,0.00038306063630503314,water_per_diff_前1天,0.0012108450539328767
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前1天,
Missing,2656,0.08166026133743275,2176,480,0.18072289156626506,0.09432463457969487,0.000705723783311466,8.818278474167162e-05,water_per_diff_前1天,0.0013666749272767855
,32525,1.0,26179,6346,0.19511145272867025,,0.4240397247957328,0.04582003103213237,water_per_diff_前1天,
"(-inf, -0.03)",1631,0.050146041506533436,606,1025,0.6284488044144696,-1.942700774997396,0.2688129479837655,0.029149165898924342,water_per_diff_前2天,0.006232267774992973
"[-0.03, -0.02)",1627,0.05002305918524212,1141,486,0.29870928088506454,-0.56368114353262,0.018600982966487812,0.0022948213887787183,water_per_diff_前2天,0.0020687383030687013
"[-0.02, -0.01)",1810,0.055649500384319754,1407,403,0.22265193370165745,-0.16685437432649564,0.0016283654406332394,0.0002033098920374253,water_per_diff_前2天,0.0015009869478607063
"[-0.01, -0.01)",3082,0.09475787855495772,2519,563,0.18267358857884491,0.08120477871871801,0.0006094305414644825,7.615789376569653e-05,water_per_diff_前2天,0.0015324726970418073
"[-0.01, 0.00)",9013,0.27710991544965413,7562,1451,0.16098968157106402,0.2337498620724885,0.01407396558448123,0.0017552514653914279,water_per_diff_前2天,0.0013173209042031018
"[0.00, 0.00)",1651,0.05076095311299001,1444,207,0.12537855844942458,0.5253206566932007,0.011840592289465041,0.00146328694740457,water_per_diff_前2天,0.0011396601893323638
"[0.00, 0.01)",4017,0.12350499615680247,3406,611,0.15210355987055016,0.30106403255683634,0.010182936970976017,0.0012680816310842039,water_per_diff_前2天,0.0012040220719150136
"[0.01, 0.02)",3860,0.11867794004611837,3224,636,0.16476683937823836,0.20604667079219485,0.004724966121505535,0.0005895781887968639,water_per_diff_前2天,0.0012122097287585165
"[0.02, inf)",2211,0.06797847809377403,1806,405,0.18317503392130258,0.0778497973761898,0.0004022392643762952,5.0267214978501904e-05,water_per_diff_前2天,0.0013022532904566084
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前2天,
Missing,3623,0.111391237509608,3064,559,0.15429202318520563,0.2841941882111809,0.008228385720311917,0.0010251007965105807,water_per_diff_前2天,0.0012483481725113056
,32525,1.0,26179,6346,0.19511145272867025,,0.33910481288346705,0.03787502131767233,water_per_diff_前2天,
"(-inf, -0.02)",1637,0.05033051498847041,697,940,0.5742211362248014,-1.7162273339977272,0.20852232375157237,0.02327397627372608,water_per_diff_前3天,0.005498577507028704
"[-0.02, -0.01)",1632,0.050176787086856266,1148,484,0.2965686274509804,-0.5534411993313219,0.017940667152123085,0.0022143939451222698,water_per_diff_前3天,0.0021127116725681017
"[-0.01, -0.01)",2714,0.0834435049961568,2111,603,0.2221812822402358,-0.1641330183730667,0.002360779930040497,0.0002947666941877187,water_per_diff_前3天,0.0016042300282351535
"[-0.01, -0.01)",1984,0.06099923136049193,1613,371,0.18699596774193547,0.05251614602357191,0.00016554389835092407,2.0690609699506235e-05,water_per_diff_前3天,0.0016042300282351535
"[-0.01, -0.00)",2885,0.08870099923136049,2503,382,0.13240901213171577,0.4626918133309972,0.01638650227489108,0.0020302348810998377,water_per_diff_前3天,0.0012604943202996748
"[-0.00, 0.00)",8219,0.2526979246733282,6890,1329,0.16169850346757514,0.22851143580025712,0.01228586998588877,0.001532401108530701,water_per_diff_前3天,0.0013329722236736534
"[0.00, 0.01)",3392,0.10428900845503458,2832,560,0.1650943396226415,0.20366880159021372,0.004059882435051904,0.0005066099950421926,water_per_diff_前3天,0.0012783173388391917
"[0.01, 0.02)",3627,0.1115142198308993,2977,650,0.17921146953405018,0.10456612863189174,0.0011805909088243693,0.00014750666768243315,water_per_diff_前3天,0.0012646523703897655
"[0.02, inf)",1811,0.055680245964642584,1459,352,0.1943677526228603,0.004742503430486655,1.2505127718304828e-06,1.563139499909127e-07,water_per_diff_前3天,0.0013826244602224529
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前3天,
Missing,4624,0.1421675634127594,3949,675,0.14597750865051903,0.34937210091991777,0.015540030199965403,0.0019326843570032122,water_per_diff_前3天,0.0012192831661662106
,32525,1.0,26179,6346,0.19511145272867025,,0.2784434410494802,0.03195342084604394,water_per_diff_前3天,
"(-inf, -0.02)",1869,0.05746348962336664,990,879,0.47030497592295345,-1.2982128240507433,0.13072468047710142,0.015281842005696086,water_per_diff_前5天,0.004276876683907229
"[-0.02, -0.01)",1730,0.05318985395849347,1282,448,0.2589595375722543,-0.3657494644285715,0.00790936943462883,0.0009831970603902214,water_per_diff_前5天,0.0020571550253582283
"[-0.01, -0.01)",1957,0.06016910069177556,1504,453,0.23147675012774654,-0.21714149046745068,0.003025415086117513,0.00037743566617915066,water_per_diff_前5天,0.0016589574135939516
"[-0.01, -0.01)",1631,0.050146041506533436,1328,303,0.18577559779276517,0.06056365503280814,0.00018054452263616756,2.2564616850387375e-05,water_per_diff_前5天,0.0016589574135939516
"[-0.01, 0.00)",6428,0.1976325903151422,5410,1018,0.15836963285625388,0.25327630523585754,0.01171103498259018,0.001459979120142051,water_per_diff_前5天,0.0013886189433914408
"[0.00, 0.00)",2826,0.08688700999231361,2474,352,0.12455767869780608,0.5328275078601343,0.020799037090382267,0.002569554711840706,water_per_diff_前5天,0.0012209256406288367
"[0.00, 0.00)",1713,0.05266717909300538,1437,276,0.16112084063047286,0.2327791508676731,0.002653533729131799,0.00033094486040147154,water_per_diff_前5天,0.0012209256406288367
"[0.00, 0.01)",3978,0.12230591852421215,3221,757,0.19029663147310205,0.030951026399548276,0.00011606043338387791,1.4506975128040123e-05,water_per_diff_前5天,0.0014052435219579083
"[0.01, 0.02)",2017,0.062013835511145275,1603,414,0.20525532969757065,-0.06336669070996326,0.000253825402004757,3.172286801060944e-05,water_per_diff_前5天,0.0014432617992260947
"[0.02, inf)",1759,0.05408147578785549,1343,416,0.23649801023308697,-0.24515693323222743,0.003494085335274568,0.00043567018672796727,water_per_diff_前5天,0.001587026143843606
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前5天,
Missing,6617,0.2034435049961568,5587,1030,0.15565966450052893,0.2737507987412655,0.01399095653035632,0.0017434291372503217,water_per_diff_前5天,0.001266078042447548
,32525,1.0,26179,6346,0.19511145272867025,,0.19485854302360767,0.02325084720861701,water_per_diff_前5天,
"(-inf, -0.02)",1679,0.051621829362029206,970,709,0.42227516378796903,-1.1036923245289008,0.08241416403572027,0.009808803029639839,water_per_diff_前7天,0.0036594152183207843
"[-0.02, -0.01)",2972,0.09137586471944657,2254,718,0.24158815612382234,-0.2731407439427045,0.007386433517262636,0.0009204446907415962,water_per_diff_前7天,0.0019516052634810563
"[-0.01, -0.01)",1770,0.05441967717140661,1427,343,0.19378531073446328,0.00846630081669475,3.890641132550441e-06,4.863286890974326e-07,water_per_diff_前7天,0.0015811193581899221
"[-0.01, -0.00)",3607,0.11089930822444273,2994,613,0.16994732464652065,0.16886775954916056,0.0030008131557521787,0.0003746565906940407,water_per_diff_前7天,0.001446538671463856
"[-0.00, 0.00)",2438,0.07495772482705611,2106,332,0.1361771944216571,0.4302778542832304,0.012103603886134245,0.0015013863732679256,water_per_diff_前7天,0.0012760721246487987
"[0.00, 0.00)",1660,0.05103766333589547,1484,176,0.10602409638554217,0.7148795591949721,0.020697658792953363,0.00253348601703511,water_per_diff_前7天,0.0012388611719019952
"[0.00, 0.00)",2339,0.07191391237509608,1964,375,0.16032492518170158,0.23867959344979872,0.0038020758309947962,0.00047413457583647635,water_per_diff_前7天,0.0012388611719019952
"[0.00, 0.01)",2194,0.06745580322828594,1768,426,0.19416590701914313,0.006032027434016429,2.449890332841263e-06,3.0623582733822806e-07,water_per_diff_前7天,0.00152529082747899
"[0.01, 0.02)",3153,0.09694081475787855,2477,676,0.2143989850935617,-0.11852251604780628,0.0014111256472036935,0.0001762875340395498,water_per_diff_前7天,0.0016008264629273597
"[0.02, inf)",2143,0.06588777863182167,1561,582,0.27158189454036397,-0.4305213967102075,0.013812576467122624,0.0017133603405762345,water_per_diff_前7天,0.0018827708514986441
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前7天,
Missing,8570,0.26348962336664106,7174,1396,0.16289381563593933,0.21971950527570838,0.011877014973036719,0.0014816476937910845,water_per_diff_前7天,0.0013055241983083942
,32525,1.0,26179,6346,0.19511145272867025,,0.15651180683764593,0.018984999410138294,water_per_diff_前7天,
