Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, -32.26)",1652,0.050791698693312834,419,1233,0.7463680387409201,-2.4964674527364084,0.44509624135984915,0.04458297289837507,water_per_diff,0.007294841451714712
"[-32.26, -16.54)",2456,0.07551114527286702,1737,719,0.2927524429967427,-0.5350794609741436,0.02512135166427765,0.0031032362288818966,water_per_diff,0.0019785515339141913
"[-16.54, -10.38)",2478,0.07618754803996926,2007,471,0.1900726392251816,0.03240538528571846,7.921564456439225e-05,9.901522337766124e-06,water_per_diff,0.0013581155778478726
"[-10.38, -5.82)",2713,0.08341275941583397,2228,485,0.17876889052709177,0.1075778406154897,0.0009338066175158168,0.00011666957361257434,water_per_diff,0.0013253779719192605
"[-5.82, -3.55)",1632,0.050176787086856266,1381,251,0.15379901960784315,0.2879773447833063,0.0038012237637784795,0.0004735178781420145,water_per_diff,0.001230221879205732
"[-3.55, 0.72)",4584,0.14093774019984628,3926,658,0.14354275741710296,0.36903857401688756,0.017079167613411852,0.0021228632508469084,water_per_diff,0.0011945726647510494
"[0.72, 1.45)",2223,0.06834742505764796,1965,258,0.11605937921727395,0.6131550698875425,0.021095374343844005,0.0025963756977721558,water_per_diff,0.001107386416146143
"[1.45, 7.65)",5740,0.17647963105303613,4877,863,0.15034843205574913,0.31473799513242295,0.015832322818151442,0.0019709121078202423,water_per_diff,0.0012274229353923694
"[7.65, 22.22)",5741,0.17651037663335895,4855,886,0.15432851419613308,0.2839145606261426,0.01301421304710979,0.0016213347922154689,water_per_diff,0.0012102789978834898
"[22.22, inf)",3303,0.10155265180630284,2781,522,0.15803814713896458,0.2557653968571243,0.006131628813866651,0.0007643713158236058,water_per_diff,0.0011602528228456376
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff,
Missing,3,9.223674096848578e-05,3,0,0.0,0.0,0.0,0.0,water_per_diff,0.0
,32525,1.0,26179,6346,0.19511145272867025,,0.5481845456863692,0.0573621552658277,water_per_diff,
"(-inf, -29.14)",1630,0.050115295926210605,480,1150,0.7055214723926381,-2.290863986949561,0.3731386922163809,0.0385409990221494,water_per_diff_前1天,0.006918400741523703
"[-29.14, -15.27)",2489,0.07652574942352038,1798,691,0.2776215347529128,-0.460842478230306,0.018528855876559322,0.002295826962815977,water_per_diff_前1天,0.0019514725123923099
"[-15.27, -10.66)",2013,0.06189085318985396,1609,404,0.20069547938400398,-0.03517960046296875,7.741878384719452e-05,9.67684898147737e-06,water_per_diff_前1天,0.0013921327937722035
"[-10.66, -5.69)",2968,0.09125288239815527,2426,542,0.18261455525606468,0.08160021857014743,0.0005925453710676558,7.404762863904104e-05,water_per_diff_前1天,0.0014014774657861808
"[-5.69, 1.99)",9430,0.28993082244427365,7984,1446,0.15334040296924709,0.29150554577838816,0.022480092210693046,0.0028001043533508845,water_per_diff_前1天,0.001279137614992638
"[1.99, 4.65)",2627,0.08076863950807071,2267,360,0.13703844689760183,0.4229757495631714,0.012633219190351338,0.001567484880493358,water_per_diff_前1天,0.00113391801262851
"[4.65, 7.65)",2201,0.06767102229054574,1878,323,0.14675147660154475,0.3431774670513499,0.007151367050149604,0.0008895599768398814,water_per_diff_前1天,0.0011882890347409162
"[7.65, 17.66)",4713,0.14490392006149116,3983,730,0.15489072777424145,0.27961317954500564,0.010376936432940067,0.0012929079540689933,water_per_diff_前1天,0.0011887923103149434
"[17.66, 26.72)",1835,0.056418139892390466,1534,301,0.16403269754768393,0.21139084768412375,0.0023602067529447184,0.0002944777538752921,water_per_diff_前1天,0.0012071939683292177
"[26.72, inf)",2020,0.06210607225211376,1675,345,0.1707920792079208,0.16289115773360519,0.0015666264221721854,0.0001956120889234276,water_per_diff_前1天,0.00119753140605205
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前1天,
Missing,599,0.018416602613374328,545,54,0.09015025041736227,0.8946688786047676,0.011012403964035019,0.0013324027933672572,water_per_diff_前1天,0.0010905098352202024
,32525,1.0,26179,6346,0.19511145272867025,,0.4599183642711411,0.049293100263504995,water_per_diff_前1天,
"(-inf, -26.28)",1631,0.050146041506533436,590,1041,0.6382587369711833,-1.9849474012094055,0.28087639377125134,0.03028584534079487,water_per_diff_前2天,0.006319767230827039
"[-26.28, -14.09)",2578,0.07926210607225212,1857,721,0.2796741660201707,-0.47105444542644515,0.0201046776130993,0.0024901047023055574,water_per_diff_前2天,0.0019053695046650592
"[-14.09, -8.89)",2484,0.07637202152190622,1973,511,0.20571658615136876,-0.06619195367529085,0.0003413792439235649,4.2664617038323414e-05,water_per_diff_前2天,0.0014870437753881484
"[-8.89, -5.70)",2006,0.06167563412759416,1637,369,0.1839481555333998,0.072691063836406,0.0003186901383830878,3.982749901157369e-05,water_per_diff_前2天,0.0015240152259042782
"[-5.70, -3.42)",1681,0.05168332052267487,1433,248,0.14753123140987506,0.33696381216898796,0.005276447465154541,0.0006564531652905612,water_per_diff_前2天,0.001274571193702352
"[-3.42, -0.70)",2596,0.07981552651806303,2242,354,0.13636363636363635,0.4286938210041291,0.012799936790713376,0.0015878517510470938,water_per_diff_前2天,0.001169578163927113
"[-0.70, 10.19)",11431,0.3514527286702537,9575,1856,0.162365497331817,0.223599031208499,0.016386114778083105,0.0020440080643676604,water_per_diff_前2天,0.0012965526237559129
"[10.19, 21.92)",4096,0.12593389700230592,3429,667,0.162841796875,0.2201010370530947,0.005695614080034575,0.0007105181434787318,water_per_diff_前2天,0.001209060007664356
"[21.92, inf)",2381,0.07320522674865489,1946,435,0.18269634607307852,0.08105236216306455,0.0004690722173500989,5.8617982631096674e-05,water_per_diff_前2天,0.0013013919032105854
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前2天,
Missing,1641,0.05045349730976172,1497,144,0.08775137111517367,0.9242722153494258,0.03187979325265825,0.003848923798708862,water_per_diff_前2天,0.0009882321007266218
,32525,1.0,26179,6346,0.19511145272867025,,0.3741481193506513,0.041764815064674325,water_per_diff_前2天,
"(-inf, -23.68)",1687,0.05186779400461184,715,972,0.5761707172495554,-1.724206131260633,0.2170006211308165,0.02419665291208023,water_per_diff_前3天,0.005463989996068712
"[-23.68, -15.44)",1725,0.053036126056879324,1221,504,0.2921739130434783,-0.5322836634548658,0.017448082921007434,0.0021556223006692554,water_per_diff_前3天,0.002082812893839064
"[-15.44, -8.89)",2918,0.08971560338201384,2262,656,0.22481151473612063,-0.17928900176222506,0.003042008877566616,0.0003797426351969642,water_per_diff_前3天,0.0016771244087027074
"[-8.89, -5.71)",1983,0.0609684857801691,1591,392,0.19768028240040342,-0.01627668094687751,1.6232598921291942e-05,2.029052466979075e-06,water_per_diff_前3天,0.0015041389370791878
"[-5.71, -1.87)",3127,0.09614142966948501,2703,424,0.13559322033898305,0.43525122155028795,0.015859229688866838,0.0019669023719472416,water_per_diff_前3天,0.001267513417941639
"[-1.87, 4.98)",8969,0.27575710991544966,7506,1463,0.16311740439290892,0.21808070918063982,0.012251652092631632,0.0015284289248416391,water_per_diff_前3天,0.0013343527758238347
"[4.98, 10.39)",3554,0.10926979246733282,2960,594,0.1671356218345526,0.18893235846125944,0.0036776546795163887,0.0004590243264092214,water_per_diff_前3天,0.0012871574574850604
"[10.39, 22.17)",3916,0.12039969254419677,3226,690,0.17620020429009192,0.12517379159964737,0.0018148489103424746,0.00022670812597137694,water_per_diff_前3天,0.001261063048268219
"[22.17, inf)",1935,0.05949269792467333,1557,378,0.19534883720930232,-0.0015108932797911478,1.3587240608465187e-07,1.698404914511544e-08,water_per_diff_前3天,0.0013843521660408039
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff_前3天,
Missing,2711,0.08335126825518832,2438,273,0.10070084839542605,0.772328645362055,0.038700504141492995,0.004720806265862491,water_per_diff_前3天,0.001044918034579978
,32525,1.0,26179,6346,0.19511145272867025,,0.3098109709135683,0.03563593389949454,water_per_diff_前3天,
"(-inf, -20.16)",1737,0.053405073020753265,904,833,0.47956246401842256,-1.335337151268868,0.12917022524273128,0.01504435591622011,water_per_diff_前5天,0.004353385959684772
"[-20.16, -12.72)",2069,0.06361260568793237,1523,546,0.263895601739971,-0.3913144923439451,0.010902823358535242,0.001354223552649642,water_per_diff_前5天,0.0020818816286060095
"[-12.72, -8.18)",2144,0.0659185242121445,1646,498,0.23227611940298507,-0.22162956528183964,0.003457378301230834,0.00043128994771853175,water_per_diff_前5天,0.0017352215533115263
"[-8.18, -5.44)",1711,0.05260568793235972,1381,330,0.19286966686148452,0.014337629454564293,1.0766775882074722e-05,1.3458354577740967e-06,water_per_diff_前5天,0.001553358045092003
"[-5.44, 0.98)",6818,0.20962336664104536,5738,1080,0.15840422411264302,0.25301680692884276,0.01239715835049133,0.0015455244631133545,water_per_diff_前5天,0.0013931439248799887
